Attacked Unit@3cbaf9f2at position 738, 17 at time 1607904712446
Got attacked at 238, 282 by Unit@7ddeb524 at time 1607904712469
Attacked Unit@4d3309f7at position 730, 492 at time 1607904725530
Moved to 239, 283 at time 1607904725769
Moved to 240, 284 at time 1607904725948
Moved to 241, 285 at time 1607904726133
Moved to 242, 286 at time 1607904750407
Moved to 243, 287 at time 1607904750534
Moved to 244, 288 at time 1607904750667
Moved to 245, 289 at time 1607904750845
Moved to 246, 290 at time 1607904750948
Moved to 247, 291 at time 1607904751065
Moved to 248, 292 at time 1607904751199
Moved to 249, 293 at time 1607904751346
Moved to 250, 294 at time 1607904751494
Moved to 251, 295 at time 1607904751642
Moved to 252, 296 at time 1607904751797
Moved to 253, 297 at time 1607904751975
Moved to 254, 298 at time 1607904752082
Moved to 255, 299 at time 1607904752223
Moved to 256, 300 at time 1607904752352
Moved to 257, 301 at time 1607904752509
Moved to 258, 302 at time 1607904752675
Moved to 259, 303 at time 1607904752819
Moved to 260, 304 at time 1607904752981
Moved to 261, 305 at time 1607904753132
Moved to 262, 306 at time 1607904753282
Moved to 263, 307 at time 1607904753385
Moved to 264, 308 at time 1607904753531
Moved to 265, 309 at time 1607904753662
Moved to 266, 310 at time 1607904753817
Moved to 267, 311 at time 1607904753963
Moved to 268, 312 at time 1607904754094
Moved to 269, 313 at time 1607904754211
Moved to 270, 314 at time 1607904754350
Moved to 271, 315 at time 1607904754494
Moved to 272, 316 at time 1607904754613
Moved to 273, 317 at time 1607904754716
Moved to 274, 318 at time 1607904754835
Moved to 275, 319 at time 1607904754966
Moved to 276, 320 at time 1607904755098
Moved to 277, 321 at time 1607904755218
Moved to 278, 322 at time 1607904755352
Moved to 279, 323 at time 1607904755484
Moved to 280, 324 at time 1607904755605
Moved to 281, 325 at time 1607904755739
Moved to 282, 326 at time 1607904755878
Moved to 283, 327 at time 1607904756010
Moved to 284, 328 at time 1607904756145
Moved to 285, 329 at time 1607904756251
Moved to 286, 330 at time 1607904756362
Moved to 287, 331 at time 1607904756483
Moved to 288, 332 at time 1607904756612
Moved to 289, 333 at time 1607904756731
Moved to 290, 334 at time 1607904756878
Moved to 291, 335 at time 1607904757016
Moved to 292, 336 at time 1607904757160
Moved to 293, 337 at time 1607904757284
Moved to 294, 338 at time 1607904757403
Moved to 295, 339 at time 1607904757517
Moved to 296, 340 at time 1607904757636
Moved to 297, 341 at time 1607904757762
Moved to 298, 342 at time 1607904757869
Moved to 299, 343 at time 1607904757998
Moved to 300, 344 at time 1607904758112
Moved to 301, 345 at time 1607904758215
Moved to 302, 346 at time 1607904758322
Moved to 303, 347 at time 1607904758450
Moved to 304, 348 at time 1607904758557
Moved to 305, 349 at time 1607904758669
Moved to 306, 350 at time 1607904758798
Moved to 307, 351 at time 1607904758917
Moved to 308, 352 at time 1607904759027
Moved to 309, 353 at time 1607904759184
Moved to 310, 354 at time 1607904759291
Moved to 311, 356 at time 1607904759762
Moved to 312, 357 at time 1607904759880
Moved to 313, 358 at time 1607904760009
Moved to 314, 359 at time 1607904760132
Moved to 315, 360 at time 1607904760234
Moved to 316, 361 at time 1607904760345
Moved to 317, 362 at time 1607904760476
Moved to 318, 363 at time 1607904760602
Moved to 319, 364 at time 1607904760728
Moved to 320, 365 at time 1607904760848
Moved to 321, 366 at time 1607904760953
Moved to 322, 367 at time 1607904761078
Moved to 323, 368 at time 1607904761201
Moved to 324, 369 at time 1607904761334
Moved to 325, 370 at time 1607904761446
Moved to 326, 371 at time 1607904761553
Moved to 327, 372 at time 1607904761669
Moved to 328, 373 at time 1607904761783
Moved to 329, 374 at time 1607904761891
Moved to 330, 375 at time 1607904762001
Moved to 331, 376 at time 1607904762121
Moved to 332, 377 at time 1607904762230
Moved to 333, 378 at time 1607904762333
Moved to 334, 379 at time 1607904762450
Moved to 335, 380 at time 1607904762579
Moved to 336, 381 at time 1607904762707
Moved to 337, 382 at time 1607904762816
Moved to 338, 383 at time 1607904762947
Moved to 339, 384 at time 1607904763071
Moved to 340, 385 at time 1607904763183
Moved to 341, 386 at time 1607904763286
Moved to 342, 387 at time 1607904763390
Moved to 343, 388 at time 1607904763491
Moved to 344, 389 at time 1607904763593
Moved to 345, 390 at time 1607904763795
Moved to 346, 391 at time 1607904764012
Moved to 347, 392 at time 1607904764234
Moved to 348, 393 at time 1607904764442
Moved to 349, 394 at time 1607904764646
Moved to 350, 395 at time 1607904764848
Moved to 351, 396 at time 1607904765049
Moved to 352, 397 at time 1607904765253
Moved to 353, 398 at time 1607904765355
Moved to 352, 399 at time 1607904765556
Moved to 353, 400 at time 1607904765660
Moved to 354, 401 at time 1607904765762
Moved to 355, 402 at time 1607904765865
Moved to 356, 403 at time 1607904765966
Moved to 357, 404 at time 1607904766068
Moved to 358, 405 at time 1607904766171
Moved to 359, 406 at time 1607904766274
Moved to 360, 407 at time 1607904766375
Moved to 361, 408 at time 1607904766577
Moved to 362, 409 at time 1607904766679
Moved to 363, 410 at time 1607904766883
Moved to 364, 411 at time 1607904766984
Moved to 365, 412 at time 1607904767088
Moved to 366, 413 at time 1607904767190
Moved to 367, 414 at time 1607904767294
Moved to 368, 415 at time 1607904767396
Moved to 369, 416 at time 1607904767497
Moved to 370, 417 at time 1607904767600
Moved to 371, 418 at time 1607904767702
Moved to 372, 419 at time 1607904767807
Moved to 373, 420 at time 1607904768136
