Attacked Unit@cf5b2e4at position 442, 564 at time 1607967130667
Attacked Unit@7f05b3aaat position 429, 599 at time 1607967131903
Attacked Unit@7f05b3aaat position 421, 591 at time 1607967133233
Attacked Unit@3e3fed47at position 289, 595 at time 1607967134369
Attacked Unit@29664fabat position 333, 595 at time 1607967135515
Attacked Unit@29664fabat position 312, 574 at time 1607967136871
Attacked Unit@29664fabat position 302, 564 at time 1607967138197
Attacked Unit@29664fabat position 287, 549 at time 1607967139329
Attacked Unit@29664fabat position 261, 523 at time 1607967140473
Attacked Unit@7f05b3aaat position 298, 468 at time 1607967141607
Attacked Unit@7f05b3aaat position 275, 445 at time 1607967142721
Attacked Unit@7f05b3aaat position 257, 427 at time 1607967143840
Attacked Unit@2136b6a6at position 262, 391 at time 1607967144967
Attacked Unit@2136b6a6at position 239, 368 at time 1607967146103
Attacked Unit@2136b6a6at position 228, 357 at time 1607967147215
Attacked Unit@2136b6a6at position 213, 342 at time 1607967148356
Attacked Unit@cf5b2e4at position 177, 299 at time 1607967149541
Attacked Unit@cf5b2e4at position 169, 291 at time 1607967150742
Attacked Unit@cf5b2e4at position 161, 283 at time 1607967151933
Attacked Unit@6cc0f160at position 192, 211 at time 1607967153194
Attacked Unit@6cc0f160at position 180, 199 at time 1607967154337
Attacked Unit@6cc0f160at position 169, 188 at time 1607967155520
Attacked Unit@6cc0f160at position 161, 180 at time 1607967156668
Attacked Unit@5c5c0b69at position 182, 149 at time 1607967157836
Attacked Unit@5c5c0b69at position 203, 170 at time 1607967159227
Attacked Unit@5c5c0b69at position 212, 179 at time 1607967160569
Attacked Unit@5c5c0b69at position 237, 204 at time 1607967161705
Attacked Unit@7c023d95at position 187, 121 at time 1607967162962
Attacked Unit@7c023d95at position 189, 123 at time 1607967164101
Attacked Unit@7c023d95at position 210, 144 at time 1607967165311
Attacked Unit@7c023d95at position 223, 157 at time 1607967166433
Attacked Unit@7c023d95at position 258, 192 at time 1607967167581
Attacked Unit@4b1dea1dat position 204, 153 at time 1607967168704
Attacked Unit@4b1dea1dat position 213, 162 at time 1607967169916
Attacked Unit@4b1dea1dat position 223, 172 at time 1607967171030
Attacked Unit@a686684at position 437, 100 at time 1607967212973
Attacked Unit@a686684at position 413, 100 at time 1607967214118
Attacked Unit@1b6bd26at position 417, 100 at time 1607967215238
Attacked Unit@1b6bd26at position 382, 100 at time 1607967216353
Attacked Unit@1b6bd26at position 340, 100 at time 1607967217491
Attacked Unit@1b6bd26at position 306, 100 at time 1607967218643
Attacked Unit@1b6bd26at position 268, 100 at time 1607967219776
Attacked Unit@628bd3a5at position 311, 100 at time 1607967220915
Attacked Unit@4e318c0bat position 426, 100 at time 1607967222036
Attacked Unit@628bd3a5at position 258, 100 at time 1607967223271
Attacked Unit@628bd3a5at position 253, 100 at time 1607967224429
Attacked Unit@628bd3a5at position 243, 100 at time 1607967225624
Attacked Unit@628bd3a5at position 235, 100 at time 1607967226936
Attacked Unit@628bd3a5at position 212, 100 at time 1607967228060
Attacked Unit@628bd3a5at position 193, 114 at time 1607967229190
Attacked Unit@3158fb77at position 220, 100 at time 1607967230340
Attacked Unit@3158fb77at position 195, 100 at time 1607967231513
Attacked Unit@3158fb77at position 183, 100 at time 1607967232682
Attacked Unit@3158fb77at position 187, 108 at time 1607967233994
Attacked Unit@3158fb77at position 203, 124 at time 1607967235148
Attacked Unit@13947645at position 251, 100 at time 1607967236261
Attacked Unit@13947645at position 235, 100 at time 1607967237488
Attacked Unit@13947645at position 221, 100 at time 1607967238612
Attacked Unit@13947645at position 213, 100 at time 1607967239825
