Attacked Unit@7389c822at position 283, 530 at time 1607968624032
Attacked Unit@7389c822at position 277, 524 at time 1607968625503
Attacked Unit@7389c822at position 269, 516 at time 1607968626846
Attacked Unit@7389c822at position 249, 496 at time 1607968627959
Attacked Unit@3f1b5cb4at position 162, 517 at time 1607968629167
Attacked Unit@7389c822at position 210, 457 at time 1607968630323
Attacked Unit@7389c822at position 200, 447 at time 1607968631569
Attacked Unit@3cfd842fat position 231, 525 at time 1607968632688
Attacked Unit@7389c822at position 117, 364 at time 1607968706570
Attacked Unit@3cfd842fat position 142, 436 at time 1607968707706
Attacked Unit@3f1b5cb4at position 100, 358 at time 1607968708831
Attacked Unit@3f1b5cb4at position 100, 341 at time 1607968710050
Attacked Unit@7389c822at position 100, 283 at time 1607968711329
Attacked Unit@7389c822at position 100, 272 at time 1607968712504
Attacked Unit@76190c90at position 100, 401 at time 1607968713743
Attacked Unit@76190c90at position 100, 392 at time 1607968714896
Attacked Unit@3cfd842fat position 100, 345 at time 1607968716216
Attacked Unit@7389c822at position 100, 226 at time 1607968717398
Attacked Unit@3f1b5cb4at position 100, 271 at time 1607968718692
Attacked Unit@3cfd842fat position 100, 313 at time 1607968720021
Attacked Unit@273aea4eat position 658, 386 at time 1607968721238
Attacked Unit@273aea4eat position 642, 370 at time 1607968722496
Attacked Unit@273aea4eat position 630, 358 at time 1607968723674
Attacked Unit@273aea4eat position 615, 343 at time 1607968724889
Attacked Unit@273aea4eat position 604, 332 at time 1607968726085
Attacked Unit@6561aaddat position 540, 368 at time 1607968727225
Attacked Unit@6561aaddat position 525, 353 at time 1607968728368
Attacked Unit@487bd264at position 644, 100 at time 1607968729648
Attacked Unit@273aea4eat position 548, 276 at time 1607968730795
Attacked Unit@6f8cc49dat position 665, 100 at time 1607968731912
Attacked Unit@2abaa296at position 491, 100 at time 1607968733045
Attacked Unit@5694f1fbat position 554, 100 at time 1607968734163
Attacked Unit@5694f1fbat position 523, 100 at time 1607968735284
Attacked Unit@2abaa296at position 398, 100 at time 1607968736401
Attacked Unit@4bce0b0cat position 141, 445 at time 1607968737528
Attacked Unit@487bd264at position 360, 100 at time 1607968738652
Attacked Unit@4bce0b0cat position 100, 371 at time 1607968739849
Attacked Unit@274b5ad4at position 100, 346 at time 1607968774863
Attacked Unit@6f8cc49dat position 357, 100 at time 1607968776036
Attacked Unit@5946073eat position 100, 334 at time 1607968777150
Attacked Unit@4bce0b0cat position 100, 278 at time 1607968778342
Attacked Unit@6f8cc49dat position 320, 100 at time 1607968779482
Attacked Unit@2abaa296at position 222, 143 at time 1607968793026
Attacked Unit@487bd264at position 191, 112 at time 1607968794205
Attacked Unit@273aea4eat position 305, 226 at time 1607968795323
Attacked Unit@273aea4eat position 355, 276 at time 1607968796506
Attacked Unit@2abaa296at position 332, 253 at time 1607968797690
Attacked Unit@6561aaddat position 463, 384 at time 1607968798913
Attacked Unit@4bce0b0cat position 210, 289 at time 1607968800065
Attacked Unit@6561aaddat position 557, 478 at time 1607968801184
Attacked Unit@6f8cc49dat position 416, 255 at time 1607968804383
Attacked Unit@1afdf804at position 456, 535 at time 1607968805555
Attacked Unit@4bce0b0cat position 431, 510 at time 1607968806704
Attacked Unit@274b5ad4at position 460, 539 at time 1607968870018
