Attacked Unit@1a38ee3eat position 622, 606 at time 1607968267158
Attacked Unit@1a38ee3eat position 604, 588 at time 1607968268276
Attacked Unit@1a38ee3eat position 577, 561 at time 1607968269453
Attacked Unit@313012a2at position 623, 545 at time 1607968270610
Attacked Unit@313012a2at position 597, 519 at time 1607968271799
Attacked Unit@1ef648cfat position 622, 613 at time 1607968272967
Attacked Unit@79516d5bat position 482, 576 at time 1607968274175
Attacked Unit@780b8fe6at position 507, 607 at time 1607968275304
Attacked Unit@1a38ee3eat position 484, 468 at time 1607968276531
Attacked Unit@313012a2at position 510, 432 at time 1607968277690
Attacked Unit@79516d5bat position 414, 508 at time 1607968278901
Attacked Unit@1a38ee3eat position 430, 414 at time 1607968280021
Attacked Unit@78b244f3at position 100, 590 at time 1607968281157
Attacked Unit@1ef648cfat position 463, 454 at time 1607968282347
Attacked Unit@273aea4eat position 100, 574 at time 1607968283479
Attacked Unit@79516d5bat position 305, 399 at time 1607968284591
Attacked Unit@780b8fe6at position 310, 410 at time 1607968285750
Attacked Unit@780b8fe6at position 286, 386 at time 1607968286891
Attacked Unit@5ba4ea77at position 100, 584 at time 1607968288066
Attacked Unit@6f187530at position 100, 547 at time 1607968289198
Attacked Unit@780b8fe6at position 217, 317 at time 1607968290357
Attacked Unit@6f187530at position 100, 505 at time 1607968291567
Attacked Unit@5ba4ea77at position 100, 519 at time 1607968292680
Attacked Unit@1ef648cfat position 265, 256 at time 1607968293795
Attacked Unit@78b244f3at position 100, 326 at time 1607968294915
Attacked Unit@78b244f3at position 100, 301 at time 1607968296070
Attacked Unit@5ba4ea77at position 100, 422 at time 1607968297245
Attacked Unit@df21797at position 100, 286 at time 1607968298358
Attacked Unit@6f187530at position 100, 362 at time 1607968299652
Attacked Unit@df21797at position 100, 265 at time 1607968300793
Attacked Unit@273aea4eat position 100, 267 at time 1607968301965
Attacked Unit@df21797at position 100, 245 at time 1607968303326
Attacked Unit@df21797at position 100, 235 at time 1607968304492
Attacked Unit@273aea4eat position 100, 233 at time 1607968305707
Attacked Unit@273aea4eat position 100, 223 at time 1607968306906
Attacked Unit@31101318at position 616, 100 at time 1607968308028
Attacked Unit@31101318at position 584, 100 at time 1607968309169
Attacked Unit@50c93daaat position 598, 100 at time 1607968310288
Attacked Unit@3a062195at position 571, 100 at time 1607968311467
Attacked Unit@31101318at position 440, 100 at time 1607968312642
Attacked Unit@50c93daaat position 484, 100 at time 1607968313757
Attacked Unit@50c93daaat position 465, 100 at time 1607968314948
Attacked Unit@50c93daaat position 445, 100 at time 1607968316096
Attacked Unit@76126528at position 601, 100 at time 1607968317258
Attacked Unit@31101318at position 343, 100 at time 1607968318477
