Attacked Unit@44f7debfat position 1665, 569 at time 1607967053498
Attacked Unit@784ec523at position 1607, 583 at time 1607967097384
Moved to 1628, 343 at time 1607967097494
Moved to 1629, 344 at time 1607967097660
Moved to 1630, 345 at time 1607967097779
Moved to 1631, 346 at time 1607967097898
Moved to 1632, 347 at time 1607967097990
Moved to 1633, 348 at time 1607967098094
Moved to 1634, 349 at time 1607967098169
Moved to 1635, 350 at time 1607967098280
Moved to 1636, 351 at time 1607967098360
Moved to 1637, 352 at time 1607967098477
Moved to 1638, 353 at time 1607967098576
Moved to 1639, 354 at time 1607967098676
Moved to 1640, 355 at time 1607967098876
Moved to 1641, 356 at time 1607967098975
Moved to 1642, 357 at time 1607967099212
Moved to 1643, 358 at time 1607967099606
Moved to 1644, 359 at time 1607967099970
Moved to 1645, 360 at time 1607967100080
Moved to 1646, 361 at time 1607967100274
Moved to 1647, 362 at time 1607967100538
Moved to 1648, 363 at time 1607967100750
Moved to 1649, 364 at time 1607967101454
Moved to 1650, 365 at time 1607967101858
Moved to 1651, 366 at time 1607967102003
Moved to 1652, 367 at time 1607967102196
Moved to 1653, 368 at time 1607967102407
Moved to 1654, 369 at time 1607967102816
Moved to 1655, 370 at time 1607967103261
Moved to 1654, 371 at time 1607967103423
Moved to 1653, 372 at time 1607967103567
Moved to 1652, 373 at time 1607967103730
Moved to 1651, 374 at time 1607967103882
Moved to 1650, 375 at time 1607967104004
Moved to 1649, 376 at time 1607967104416
Moved to 1648, 377 at time 1607967104762
Moved to 1647, 378 at time 1607967104834
Moved to 1646, 379 at time 1607967105268
Moved to 1645, 380 at time 1607967105348
Moved to 1644, 381 at time 1607967105884
Moved to 1643, 382 at time 1607967106285
Moved to 1642, 383 at time 1607967106569
Moved to 1641, 384 at time 1607967107055
Moved to 1640, 385 at time 1607967107313
Moved to 1639, 386 at time 1607967107597
Moved to 1638, 387 at time 1607967107684
Moved to 1637, 388 at time 1607967107857
Moved to 1636, 389 at time 1607967107989
Moved to 1635, 400 at time 1607967110950
Moved to 1634, 401 at time 1607967111354
Moved to 1633, 402 at time 1607967111766
Moved to 1632, 403 at time 1607967112038
Moved to 1631, 404 at time 1607967112250
Moved to 1630, 405 at time 1607967112619
Moved to 1629, 406 at time 1607967112967
Moved to 1628, 407 at time 1607967113018
Moved to 1626, 408 at time 1607967113462
Moved to 1624, 409 at time 1607967113921
Moved to 1622, 410 at time 1607967114352
Moved to 1620, 411 at time 1607967114784
Moved to 1618, 412 at time 1607967115208
Moved to 1616, 413 at time 1607967115807
Moved to 1615, 414 at time 1607967116000
Moved to 1614, 415 at time 1607967116039
Moved to 1612, 416 at time 1607967116394
Moved to 1611, 417 at time 1607967116692
Moved to 1610, 418 at time 1607967116796
Moved to 1609, 419 at time 1607967116954
Moved to 1608, 420 at time 1607967117250
Moved to 1607, 421 at time 1607967117492
Moved to 1606, 422 at time 1607967117805
Moved to 1605, 423 at time 1607967118113
Moved to 1604, 424 at time 1607967118196
Moved to 1603, 425 at time 1607967118506
Moved to 1602, 426 at time 1607967118594
Moved to 1603, 425 at time 1607967118835
Moved to 1604, 424 at time 1607967118901
Moved to 1605, 423 at time 1607967119198
Moved to 1606, 422 at time 1607967119287
Moved to 1607, 421 at time 1607967119588
Moved to 1608, 420 at time 1607967119639
Moved to 1609, 419 at time 1607967119746
Moved to 1610, 418 at time 1607967119868
Moved to 1611, 417 at time 1607967119951
Moved to 1612, 416 at time 1607967120086
Moved to 1613, 415 at time 1607967120181
Moved to 1614, 414 at time 1607967120272
Moved to 1615, 413 at time 1607967120384
Moved to 1616, 412 at time 1607967120500
Moved to 1617, 411 at time 1607967120601
Moved to 1618, 410 at time 1607967120690
Moved to 1619, 409 at time 1607967120800
Moved to 1620, 408 at time 1607967120907
Moved to 1621, 407 at time 1607967121007
Moved to 1622, 406 at time 1607967121099
Moved to 1623, 405 at time 1607967121243
Moved to 1624, 404 at time 1607967121402
Moved to 1625, 403 at time 1607967121515
Moved to 1626, 402 at time 1607967121591
Moved to 1627, 401 at time 1607967121703
