Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644476
Moved to 386, 488 at time 1607965646494
Moved to 385, 489 at time 1607965708018
Moved to 384, 490 at time 1607965708225
Moved to 383, 491 at time 1607965708416
Moved to 382, 492 at time 1607965708453
Moved to 381, 493 at time 1607965708591
Moved to 380, 494 at time 1607965708679
Moved to 379, 495 at time 1607965708801
Moved to 378, 496 at time 1607965708901
Moved to 377, 497 at time 1607965709018
Moved to 376, 498 at time 1607965709093
Moved to 375, 499 at time 1607965709192
Moved to 374, 500 at time 1607965709273
Moved to 373, 501 at time 1607965709343
Moved to 372, 502 at time 1607965709480
Moved to 371, 503 at time 1607965709532
Moved to 370, 504 at time 1607965709940
Moved to 369, 505 at time 1607965710137
Moved to 368, 506 at time 1607965710585
Moved to 367, 507 at time 1607965711085
Moved to 366, 508 at time 1607965711137
Moved to 365, 509 at time 1607965711496
Moved to 364, 510 at time 1607965712190
Moved to 363, 511 at time 1607965712635
Moved to 362, 512 at time 1607965713062
Moved to 361, 513 at time 1607965713690
Moved to 360, 514 at time 1607965713733
Moved to 359, 515 at time 1607965714118
Moved to 358, 516 at time 1607965714517
Moved to 357, 517 at time 1607965714585
Moved to 356, 518 at time 1607965715046
Moved to 355, 519 at time 1607965715213
Moved to 354, 520 at time 1607965715337
Moved to 353, 521 at time 1607965715534
Moved to 352, 522 at time 1607965715660
Moved to 351, 523 at time 1607965715708
Moved to 350, 524 at time 1607965715853
Moved to 351, 525 at time 1607965716361
Moved to 352, 526 at time 1607965716802
Moved to 353, 527 at time 1607965716968
Moved to 354, 528 at time 1607965717051
Moved to 355, 529 at time 1607965717216
Moved to 356, 530 at time 1607965717418
Moved to 357, 531 at time 1607965717570
Moved to 358, 532 at time 1607965717730
Moved to 359, 533 at time 1607965718084
Moved to 360, 534 at time 1607965718164
Moved to 361, 535 at time 1607965718568
Moved to 362, 536 at time 1607965718652
Moved to 363, 537 at time 1607965718748
Moved to 364, 538 at time 1607965718831
Moved to 365, 539 at time 1607965718900
Moved to 366, 540 at time 1607965719007
Moved to 367, 541 at time 1607965719163
Moved to 368, 542 at time 1607965719338
Moved to 369, 543 at time 1607965719524
Moved to 370, 544 at time 1607965719795
Moved to 371, 545 at time 1607965720048
Moved to 372, 546 at time 1607965720338
Moved to 373, 547 at time 1607965720586
Moved to 374, 548 at time 1607965720850
Moved to 375, 549 at time 1607965721103
Moved to 376, 550 at time 1607965721375
Moved to 377, 551 at time 1607965721503
Moved to 378, 552 at time 1607965721598
Moved to 379, 553 at time 1607965721674
Moved to 380, 554 at time 1607965721764
Moved to 381, 555 at time 1607965721839
Moved to 382, 556 at time 1607965721914
Moved to 383, 557 at time 1607965721974
Moved to 384, 558 at time 1607965722010
Moved to 385, 559 at time 1607965722162
Moved to 386, 560 at time 1607965722271
Moved to 387, 561 at time 1607965722490
Moved to 388, 562 at time 1607965722525
Moved to 389, 563 at time 1607965722876
Moved to 390, 564 at time 1607965722952
Moved to 391, 565 at time 1607965723348
Moved to 392, 566 at time 1607965723397
Moved to 393, 567 at time 1607965723726
Moved to 394, 568 at time 1607965723825
Moved to 395, 569 at time 1607965724244
Moved to 396, 570 at time 1607965724325
Moved to 397, 571 at time 1607965724726
Moved to 398, 572 at time 1607965724812
Moved to 399, 573 at time 1607965725208
Moved to 400, 574 at time 1607965725301
Moved to 401, 575 at time 1607965725671
Moved to 402, 577 at time 1607965726125
Moved to 403, 579 at time 1607965726593
Moved to 404, 581 at time 1607965727038
Moved to 405, 583 at time 1607965727471
Moved to 406, 585 at time 1607965727930
Moved to 407, 587 at time 1607965728375
Moved to 408, 589 at time 1607965728843
Moved to 409, 590 at time 1607965728950
Moved to 410, 591 at time 1607965729316
Moved to 411, 592 at time 1607965729405
Moved to 412, 593 at time 1607965729585
Moved to 413, 594 at time 1607965729710
Moved to 414, 595 at time 1607965729820
Moved to 415, 596 at time 1607965730035
Moved to 416, 597 at time 1607965730404
Moved to 417, 599 at time 1607965730817
Moved to 418, 601 at time 1607965731253
Moved to 419, 603 at time 1607965731461
Moved to 420, 604 at time 1607965731560
Moved to 421, 605 at time 1607965731688
Moved to 422, 606 at time 1607965731789
Moved to 423, 607 at time 1607965731903
Moved to 424, 608 at time 1607965731993
Moved to 425, 609 at time 1607965732098
Moved to 426, 610 at time 1607965732209
Moved to 427, 611 at time 1607965732322
Moved to 428, 612 at time 1607965732451
Moved to 429, 613 at time 1607965732630
Moved to 430, 614 at time 1607965732731
Moved to 431, 615 at time 1607965733025
Moved to 432, 616 at time 1607965733062
Moved to 433, 617 at time 1607965733105
Moved to 434, 618 at time 1607965733141
Moved to 435, 619 at time 1607965733460
Moved to 436, 620 at time 1607965733557
Moved to 437, 621 at time 1607965733893
Moved to 438, 622 at time 1607965734001
Moved to 439, 623 at time 1607965734320
Moved to 440, 624 at time 1607965734418
Moved to 441, 625 at time 1607965734733
Moved to 442, 626 at time 1607965734790
Moved to 443, 627 at time 1607965734905
Moved to 444, 628 at time 1607965735076
Moved to 445, 629 at time 1607965735167
Moved to 446, 630 at time 1607965735203
Moved to 447, 631 at time 1607965735280
Moved to 448, 632 at time 1607965735413
Moved to 449, 633 at time 1607965735488
Moved to 450, 634 at time 1607965735618
Moved to 451, 635 at time 1607965735703
Moved to 452, 636 at time 1607965735833
Moved to 453, 637 at time 1607965735913
Moved to 454, 638 at time 1607965736231
Moved to 455, 639 at time 1607965736676
Moved to 456, 640 at time 1607965736876
Moved to 457, 641 at time 1607965737102
Moved to 458, 642 at time 1607965737543
Moved to 459, 643 at time 1607965737925
Moved to 460, 644 at time 1607965738342
Moved to 461, 645 at time 1607965738378
Moved to 462, 646 at time 1607965738688
Moved to 463, 647 at time 1607965738803
Moved to 464, 648 at time 1607965739106
Moved to 465, 649 at time 1607965739192
