Moved to 4, 654 at time 1607969349790
Moved to 5, 655 at time 1607969440168
Moved to 6, 656 at time 1607969440288
Moved to 7, 657 at time 1607969440405
Moved to 8, 658 at time 1607969440542
Moved to 9, 659 at time 1607969440679
Moved to 10, 660 at time 1607969440783
Moved to 11, 661 at time 1607969440887
Moved to 12, 662 at time 1607969441023
Moved to 13, 663 at time 1607969441219
Moved to 14, 664 at time 1607969441443
Moved to 15, 665 at time 1607969441628
Moved to 16, 666 at time 1607969441847
Moved to 17, 667 at time 1607969441959
Moved to 18, 668 at time 1607969442129
Moved to 19, 669 at time 1607969442261
Moved to 20, 670 at time 1607969442365
Moved to 21, 671 at time 1607969442616
Moved to 22, 672 at time 1607969442911
Moved to 23, 673 at time 1607969443016
Moved to 24, 674 at time 1607969443304
Moved to 25, 675 at time 1607969443418
Moved to 26, 676 at time 1607969443678
Moved to 27, 677 at time 1607969443857
Moved to 28, 687 at time 1607969445913
Moved to 29, 688 at time 1607969446061
Moved to 30, 689 at time 1607969446323
Moved to 31, 690 at time 1607969446475
Moved to 32, 691 at time 1607969446755
Moved to 33, 692 at time 1607969446901
Moved to 34, 693 at time 1607969447060
Moved to 35, 694 at time 1607969447281
Moved to 36, 695 at time 1607969447407
Moved to 37, 696 at time 1607969447524
Moved to 38, 697 at time 1607969447658
Moved to 39, 698 at time 1607969447827
Moved to 40, 699 at time 1607969447936
Moved to 41, 700 at time 1607969448098
Moved to 42, 701 at time 1607969448208
Moved to 43, 702 at time 1607969448364
Moved to 44, 703 at time 1607969448485
Moved to 45, 704 at time 1607969448680
Moved to 46, 705 at time 1607969448917
Got attacked at 51, 835 by Unit@60bab545 at time 1607969477444
Died at 51, 836 at time 1607969477579
