Moved to 1782, 887 at time 1607968070212
Moved to 1781, 886 at time 1607968070295
Moved to 1780, 887 at time 1607968143860
Moved to 1781, 888 at time 1607968143922
Moved to 1780, 887 at time 1607968144147
Moved to 1779, 888 at time 1607968144211
Moved to 1778, 887 at time 1607968144245
Moved to 1777, 888 at time 1607968144371
Moved to 1776, 889 at time 1607968144415
Moved to 1777, 890 at time 1607968144567
Moved to 1776, 891 at time 1607968144630
Moved to 1775, 892 at time 1607968144820
Moved to 1774, 893 at time 1607968144898
Moved to 1773, 894 at time 1607968145027
Moved to 1772, 893 at time 1607968145079
Moved to 1771, 894 at time 1607968145195
Moved to 1770, 893 at time 1607968145231
Moved to 1769, 892 at time 1607968145406
Moved to 1768, 893 at time 1607968145471
Moved to 1767, 894 at time 1607968145739
Moved to 1766, 895 at time 1607968145777
Moved to 1765, 894 at time 1607968145937
Moved to 1764, 895 at time 1607968145974
Moved to 1763, 896 at time 1607968146133
Moved to 1762, 897 at time 1607968146234
Moved to 1761, 896 at time 1607968146464
Moved to 1760, 895 at time 1607968146500
Moved to 1759, 896 at time 1607968146561
Moved to 1758, 895 at time 1607968146845
Moved to 1757, 894 at time 1607968146917
Moved to 1756, 895 at time 1607968146962
Moved to 1755, 894 at time 1607968147025
Moved to 1754, 893 at time 1607968147184
Moved to 1753, 894 at time 1607968147279
Moved to 1752, 895 at time 1607968147463
Moved to 1751, 894 at time 1607968147595
Moved to 1750, 893 at time 1607968147725
Moved to 1749, 894 at time 1607968147833
Moved to 1748, 895 at time 1607968147957
Moved to 1747, 894 at time 1607968148225
Moved to 1746, 893 at time 1607968148563
Moved to 1745, 894 at time 1607968148866
Moved to 1744, 895 at time 1607968149087
Moved to 1743, 896 at time 1607968149186
Moved to 1742, 897 at time 1607968149408
Moved to 1741, 898 at time 1607968149494
Moved to 1740, 899 at time 1607968149585
Moved to 1739, 900 at time 1607968149683
Moved to 1738, 901 at time 1607968149780
Moved to 1737, 902 at time 1607968149869
Moved to 1736, 903 at time 1607968150076
Moved to 1735, 904 at time 1607968150235
Moved to 1734, 905 at time 1607968150345
Moved to 1733, 906 at time 1607968150381
Moved to 1732, 907 at time 1607968150447
Moved to 1731, 908 at time 1607968150596
