Moved to 1358, 677 at time 1607968586293
Moved to 1359, 678 at time 1607968622610
Moved to 1360, 679 at time 1607968622765
Attacked Unit@48e1afa2at position 1476, 948 at time 1607968622908
Got attacked at 1360, 679 by Unit@48e1afa2 at time 1607968624302
Attacked Unit@48e1afa2at position 1476, 948 at time 1607968624608
Attacked Unit@48e1afa2at position 1476, 948 at time 1607968626378
Moved to 1361, 678 at time 1607968626710
Moved to 1362, 677 at time 1607968626959
Moved to 1363, 678 at time 1607968627029
Moved to 1364, 679 at time 1607968627177
Moved to 1365, 680 at time 1607968627212
Moved to 1366, 681 at time 1607968627328
Moved to 1367, 680 at time 1607968627387
Moved to 1368, 679 at time 1607968627476
Moved to 1369, 678 at time 1607968627573
Moved to 1370, 679 at time 1607968627635
Got attacked at 1370, 679 by Falling off a bridge at time 1607968627709
Moved to 1371, 680 at time 1607968627720
Died at 1371, 680 at time 1607968627721
