Moved to 2405, 327 at time 1607967053451
Moved to 2406, 326 at time 1607967160587
Moved to 2407, 325 at time 1607967160864
Moved to 2408, 324 at time 1607967160945
Moved to 2409, 323 at time 1607967161051
Moved to 2410, 322 at time 1607967161122
Moved to 2411, 321 at time 1607967161241
Moved to 2412, 320 at time 1607967161345
Moved to 2413, 319 at time 1607967161436
Moved to 2414, 318 at time 1607967161519
Moved to 2415, 317 at time 1607967161563
Moved to 2416, 316 at time 1607967161664
Moved to 2417, 315 at time 1607967161751
Moved to 2418, 314 at time 1607967161785
Moved to 2419, 313 at time 1607967161848
Moved to 2420, 312 at time 1607967161884
Moved to 2421, 311 at time 1607967161948
Moved to 2422, 310 at time 1607967161987
Moved to 2423, 309 at time 1607967162053
Moved to 2424, 308 at time 1607967162100
Moved to 2425, 307 at time 1607967162170
Moved to 2426, 306 at time 1607967162261
Moved to 2427, 305 at time 1607967162333
Moved to 2428, 304 at time 1607967162412
Moved to 2429, 303 at time 1607967162509
Moved to 2430, 302 at time 1607967162551
Moved to 2431, 301 at time 1607967162764
Moved to 2432, 300 at time 1607967162976
Moved to 2433, 299 at time 1607967163092
Moved to 2434, 298 at time 1607967163135
Moved to 2435, 297 at time 1607967163198
Moved to 2436, 296 at time 1607967163233
Moved to 2437, 295 at time 1607967163305
Moved to 2438, 294 at time 1607967163386
Moved to 2439, 293 at time 1607967163456
Moved to 2440, 292 at time 1607967163573
Moved to 2441, 291 at time 1607967163652
Moved to 2442, 290 at time 1607967163770
Moved to 2443, 289 at time 1607967163820
Moved to 2444, 288 at time 1607967163870
Moved to 2445, 287 at time 1607967163906
Moved to 2446, 286 at time 1607967163946
Moved to 2447, 285 at time 1607967163980
Moved to 2448, 284 at time 1607967164020
Moved to 2449, 283 at time 1607967164122
Moved to 2450, 282 at time 1607967164166
Moved to 2451, 281 at time 1607967164233
Moved to 2452, 280 at time 1607967164267
Moved to 2453, 279 at time 1607967164348
Moved to 2454, 278 at time 1607967164396
Moved to 2455, 277 at time 1607967164486
Moved to 2456, 276 at time 1607967164530
Moved to 2457, 275 at time 1607967164617
Moved to 2458, 274 at time 1607967164681
Moved to 2459, 273 at time 1607967164763
Moved to 2460, 272 at time 1607967164851
