Attacked Unit@1016c459at position 562, 771 at time 1607967098644
Attacked Unit@1016c459at position 558, 767 at time 1607967099879
Attacked Unit@1016c459at position 551, 760 at time 1607967101729
Attacked Unit@1016c459at position 546, 755 at time 1607967102846
Attacked Unit@1016c459at position 538, 747 at time 1607967104229
Attacked Unit@1016c459at position 530, 739 at time 1607967105911
Attacked Unit@1016c459at position 524, 733 at time 1607967107085
Attacked Unit@1016c459at position 508, 717 at time 1607967108316
Attacked Unit@1016c459at position 499, 708 at time 1607967109546
Attacked Unit@1016c459at position 490, 699 at time 1607967111124
Attacked Unit@1016c459at position 484, 693 at time 1607967112337
Attacked Unit@1016c459at position 475, 684 at time 1607967113894
Attacked Unit@1016c459at position 468, 677 at time 1607967115385
Attacked Unit@56785a1cat position 399, 687 at time 1607967116620
Attacked Unit@56785a1cat position 392, 680 at time 1607967117837
Attacked Unit@56785a1cat position 388, 676 at time 1607967118951
Attacked Unit@56785a1cat position 382, 670 at time 1607967120133
Attacked Unit@56785a1cat position 370, 658 at time 1607967121283
Attacked Unit@56785a1cat position 352, 640 at time 1607967122468
Attacked Unit@56785a1cat position 340, 628 at time 1607967123868
Attacked Unit@3e3fed47at position 358, 664 at time 1607967124991
Attacked Unit@3e3fed47at position 334, 640 at time 1607967126214
Attacked Unit@3e3fed47at position 325, 631 at time 1607967127390
Attacked Unit@3e3fed47at position 319, 625 at time 1607967128554
Attacked Unit@3e3fed47at position 311, 617 at time 1607967129977
Attacked Unit@3e3fed47at position 306, 612 at time 1607967131162
Attacked Unit@3e3fed47at position 303, 609 at time 1607967132520
Attacked Unit@3e3fed47at position 295, 601 at time 1607967133753
Attacked Unit@29664fabat position 341, 603 at time 1607967134946
Attacked Unit@29664fabat position 323, 585 at time 1607967136111
Attacked Unit@29664fabat position 306, 568 at time 1607967137529
Attacked Unit@29664fabat position 296, 558 at time 1607967138722
Attacked Unit@29664fabat position 278, 540 at time 1607967139846
Attacked Unit@7f05b3aaat position 314, 484 at time 1607967141010
Attacked Unit@7f05b3aaat position 284, 454 at time 1607967142189
Attacked Unit@7f05b3aaat position 267, 437 at time 1607967143312
Attacked Unit@7f05b3aaat position 241, 411 at time 1607967144440
Attacked Unit@2136b6a6at position 247, 376 at time 1607967145591
Attacked Unit@2136b6a6at position 233, 362 at time 1607967146705
Attacked Unit@2136b6a6at position 222, 351 at time 1607967147880
Attacked Unit@cf5b2e4at position 180, 302 at time 1607967149058
Attacked Unit@cf5b2e4at position 173, 295 at time 1607967150327
Attacked Unit@cf5b2e4at position 165, 287 at time 1607967151494
Attacked Unit@cf5b2e4at position 154, 276 at time 1607967152620
Attacked Unit@6cc0f160at position 185, 204 at time 1607967153818
Attacked Unit@6cc0f160at position 175, 194 at time 1607967155014
Attacked Unit@6cc0f160at position 164, 183 at time 1607967156146
Attacked Unit@5c5c0b69at position 190, 157 at time 1607967157292
Attacked Unit@5c5c0b69at position 199, 166 at time 1607967158591
Attacked Unit@5c5c0b69at position 206, 173 at time 1607967159705
Attacked Unit@5c5c0b69at position 215, 182 at time 1607967160902
Attacked Unit@4b1dea1dat position 273, 222 at time 1607967162064
Attacked Unit@4b1dea1dat position 257, 206 at time 1607967163190
Attacked Unit@4b1dea1dat position 226, 175 at time 1607967164348
Attacked Unit@7c023d95at position 231, 165 at time 1607967166748
Attacked Unit@4b1dea1dat position 217, 166 at time 1607967170422
