Attacked Unit@566bd437at position 784, 444 at time 1607905322265
Got attacked at 165, 582 by Unit@1dad4b58 at time 1607905322328
Got attacked at 165, 582 by Unit@2c6e9f3a at time 1607905465282
Attacked Unit@1dad4b58at position 778, 437 at time 1607905465436
Got attacked at 165, 582 by Unit@1dad4b58 at time 1607905467881
Attacked Unit@1dad4b58at position 778, 437 at time 1607905468034
Attacked Unit@53771802at position 773, 437 at time 1607905470596
Attacked Unit@223da2b7at position 460, 535 at time 1607905473208
Attacked Unit@75d2a319at position 457, 576 at time 1607905475709
Moved to 166, 581 at time 1607905475942
Moved to 167, 580 at time 1607905476186
Moved to 168, 579 at time 1607905476398
Moved to 169, 578 at time 1607905476634
Moved to 170, 577 at time 1607905476870
Moved to 171, 576 at time 1607905477092
Moved to 172, 575 at time 1607905477310
Moved to 173, 574 at time 1607905477525
Moved to 174, 573 at time 1607905477739
Got attacked at 174, 573 by Unit@62d13cf7 at time 1607905478193
Attacked Unit@62d13cf7at position 875, 483 at time 1607905478381
Died at 174, 573 at time 1607905478381
