Moved to 1409, 672 at time 1607968586274
Moved to 1410, 671 at time 1607968622637
Moved to 1411, 672 at time 1607968622731
Moved to 1412, 671 at time 1607968622804
Moved to 1413, 670 at time 1607968622876
Moved to 1414, 669 at time 1607968622949
Moved to 1415, 670 at time 1607968622998
Moved to 1416, 671 at time 1607968623065
Moved to 1417, 670 at time 1607968623135
Moved to 1416, 671 at time 1607968623291
Moved to 1417, 670 at time 1607968623451
Moved to 1418, 671 at time 1607968623950
Moved to 1419, 670 at time 1607968624120
Moved to 1420, 669 at time 1607968624441
Moved to 1421, 668 at time 1607968624631
Moved to 1422, 669 at time 1607968624906
Moved to 1423, 670 at time 1607968625057
Moved to 1424, 671 at time 1607968625227
Moved to 1425, 672 at time 1607968625392
Moved to 1426, 671 at time 1607968625427
Moved to 1427, 672 at time 1607968625595
Moved to 1428, 673 at time 1607968625720
Moved to 1429, 674 at time 1607968625829
Moved to 1430, 673 at time 1607968625904
Moved to 1431, 674 at time 1607968626162
Moved to 1432, 673 at time 1607968626207
Moved to 1433, 672 at time 1607968626472
Moved to 1434, 673 at time 1607968626626
Moved to 1435, 672 at time 1607968626799
Moved to 1434, 673 at time 1607968626922
Moved to 1435, 672 at time 1607968626972
Moved to 1436, 673 at time 1607968627021
Moved to 1437, 672 at time 1607968627063
Moved to 1438, 673 at time 1607968627124
Moved to 1439, 672 at time 1607968627199
Moved to 1440, 671 at time 1607968627246
Moved to 1441, 672 at time 1607968627296
Moved to 1442, 671 at time 1607968627340
Moved to 1443, 672 at time 1607968627373
Moved to 1444, 673 at time 1607968627413
Moved to 1443, 674 at time 1607968627546
Moved to 1444, 675 at time 1607968627589
Moved to 1445, 674 at time 1607968627690
Moved to 1444, 675 at time 1607968627734
Moved to 1445, 674 at time 1607968627836
Moved to 1446, 675 at time 1607968627889
Moved to 1447, 676 at time 1607968627973
Moved to 1448, 675 at time 1607968628037
Moved to 1449, 676 at time 1607968628109
Moved to 1450, 677 at time 1607968628211
Moved to 1451, 676 at time 1607968628305
Moved to 1452, 677 at time 1607968628339
Moved to 1453, 676 at time 1607968628425
Moved to 1454, 677 at time 1607968628525
Moved to 1455, 678 at time 1607968628560
Moved to 1456, 677 at time 1607968628595
Moved to 1457, 678 at time 1607968628629
Moved to 1458, 679 at time 1607968628729
Moved to 1459, 678 at time 1607968628914
Moved to 1460, 679 at time 1607968628988
Moved to 1461, 678 at time 1607968629100
Moved to 1462, 679 at time 1607968629207
Moved to 1463, 678 at time 1607968629328
Moved to 1464, 677 at time 1607968629442
Moved to 1465, 676 at time 1607968629560
Moved to 1466, 675 at time 1607968629619
Moved to 1467, 674 at time 1607968629763
Moved to 1468, 675 at time 1607968629815
Moved to 1469, 676 at time 1607968629963
Moved to 1470, 677 at time 1607968630024
Moved to 1471, 676 at time 1607968630106
Moved to 1472, 675 at time 1607968630189
Moved to 1473, 676 at time 1607968630259
Moved to 1474, 675 at time 1607968630299
Moved to 1475, 676 at time 1607968630338
Moved to 1476, 675 at time 1607968630372
Moved to 1477, 674 at time 1607968630531
Moved to 1478, 673 at time 1607968630740
Moved to 1479, 672 at time 1607968630910
Moved to 1480, 673 at time 1607968630960
Moved to 1481, 674 at time 1607968631155
Moved to 1482, 675 at time 1607968631206
Moved to 1483, 676 at time 1607968631461
Moved to 1482, 677 at time 1607968631775
Moved to 1483, 678 at time 1607968631990
Moved to 1484, 679 at time 1607968632098
Moved to 1485, 678 at time 1607968632135
Moved to 1484, 679 at time 1607968632266
Moved to 1485, 680 at time 1607968632344
Moved to 1486, 681 at time 1607968632415
Moved to 1485, 682 at time 1607968632468
Moved to 1486, 683 at time 1607968632512
Moved to 1487, 682 at time 1607968632551
Moved to 1486, 683 at time 1607968632596
Moved to 1487, 684 at time 1607968632631
Moved to 1488, 685 at time 1607968632669
Moved to 1489, 686 at time 1607968632711
Moved to 1490, 687 at time 1607968632752
Moved to 1491, 688 at time 1607968632785
Moved to 1490, 689 at time 1607968632830
Moved to 1491, 690 at time 1607968632873
Moved to 1492, 691 at time 1607968632942
Moved to 1493, 692 at time 1607968632981
Moved to 1492, 693 at time 1607968633023
Moved to 1493, 694 at time 1607968633094
Moved to 1494, 695 at time 1607968633145
Got attacked at 1494, 695 by Unit@7c14be01 at time 1607968633175
Attacked Unit@7c14be01at position 1484, 964 at time 1607968633182
Attacked Unit@7c14be01at position 1484, 964 at time 1607968705462
Got attacked at 1494, 695 by Unit@7c14be01 at time 1607968705468
Attacked Unit@7c14be01at position 1484, 964 at time 1607968707134
Attacked Unit@7c14be01at position 1484, 964 at time 1607968708812
Moved to 1495, 696 at time 1607968708908
Moved to 1496, 697 at time 1607968708974
Moved to 1497, 698 at time 1607968709034
Moved to 1498, 699 at time 1607968709098
Moved to 1499, 700 at time 1607968709198
Moved to 1500, 701 at time 1607968709268
Moved to 1501, 702 at time 1607968709321
Moved to 1502, 703 at time 1607968709403
Moved to 1503, 704 at time 1607968709441
Moved to 1504, 705 at time 1607968709516
Moved to 1505, 706 at time 1607968709581
Moved to 1506, 707 at time 1607968709630
Moved to 1507, 708 at time 1607968709665
Moved to 1508, 709 at time 1607968709871
Moved to 1509, 710 at time 1607968710097
Moved to 1510, 711 at time 1607968710349
Moved to 1511, 712 at time 1607968710597
Moved to 1512, 713 at time 1607968710862
Moved to 1513, 714 at time 1607968711090
Moved to 1514, 715 at time 1607968711372
Moved to 1515, 716 at time 1607968711603
Moved to 1516, 717 at time 1607968711770
Moved to 1517, 718 at time 1607968711829
