Attacked Unit@95973b8at position 1013, 305 at time 1607965644512
Attacked Unit@2ee4badat position 910, 594 at time 1607965646531
Attacked Unit@589f1b38at position 905, 299 at time 1607965707977
Attacked Unit@24bd10dfat position 887, 324 at time 1607965709700
Got attacked at 1021, 363 by Unit@7507c128 at time 1607965711658
Attacked Unit@59c4b8dat position 848, 429 at time 1607965711795
Attacked Unit@7507c128at position 957, 419 at time 1607965713975
Moved to 1020, 364 at time 1607965714263
Moved to 1019, 365 at time 1607965714299
Moved to 1018, 366 at time 1607965714780
Moved to 1017, 367 at time 1607965714870
Moved to 1016, 368 at time 1607965715134
Moved to 1015, 369 at time 1607965715280
Moved to 1014, 370 at time 1607965715431
Moved to 1013, 371 at time 1607965715608
Moved to 1012, 372 at time 1607965715757
Moved to 1011, 373 at time 1607965716111
Moved to 1010, 374 at time 1607965716676
Moved to 1009, 375 at time 1607965716898
Moved to 1008, 376 at time 1607965717124
Moved to 1007, 377 at time 1607965717320
Moved to 1006, 378 at time 1607965717491
Moved to 1005, 379 at time 1607965717656
Moved to 1006, 382 at time 1607965718345
Moved to 1007, 383 at time 1607965718427
Moved to 1008, 384 at time 1607965718602
Moved to 1009, 385 at time 1607965718802
Moved to 1010, 386 at time 1607965718930
Moved to 1011, 387 at time 1607965719266
Moved to 1012, 388 at time 1607965719635
Moved to 1013, 389 at time 1607965719681
Moved to 1014, 390 at time 1607965720160
Moved to 1015, 391 at time 1607965720229
Moved to 1016, 392 at time 1607965720699
Moved to 1017, 393 at time 1607965720742
Moved to 1018, 394 at time 1607965721209
Moved to 1019, 395 at time 1607965721269
Moved to 1020, 396 at time 1607965721549
Moved to 1021, 401 at time 1607965722280
Moved to 1022, 402 at time 1607965722476
Moved to 1023, 403 at time 1607965722924
Moved to 1024, 404 at time 1607965723366
Moved to 1025, 405 at time 1607965723780
Moved to 1026, 406 at time 1607965724286
Moved to 1027, 407 at time 1607965724767
Moved to 1028, 408 at time 1607965725250
Moved to 1029, 409 at time 1607965725722
Moved to 1030, 410 at time 1607965726163
Moved to 1031, 411 at time 1607965726202
Moved to 1032, 412 at time 1607965726606
Moved to 1033, 413 at time 1607965726664
