Attacked Unit@5ba49dd6at position 532, 602 at time 1607965644444
Moved to 516, 399 at time 1607965646433
Moved to 517, 400 at time 1607965707970
Moved to 518, 401 at time 1607965708038
Moved to 519, 402 at time 1607965708210
Moved to 520, 403 at time 1607965708434
Moved to 521, 404 at time 1607965708613
Moved to 522, 405 at time 1607965708651
Moved to 523, 406 at time 1607965708822
Moved to 524, 407 at time 1607965709065
Moved to 525, 408 at time 1607965709219
Moved to 526, 409 at time 1607965709429
Moved to 527, 410 at time 1607965709602
Moved to 528, 411 at time 1607965709733
Moved to 529, 412 at time 1607965710300
Moved to 530, 413 at time 1607965710430
Moved to 531, 414 at time 1607965710780
Moved to 532, 415 at time 1607965710885
Moved to 533, 416 at time 1607965711291
Moved to 534, 417 at time 1607965711327
Moved to 535, 418 at time 1607965711778
Moved to 536, 419 at time 1607965711898
Moved to 537, 420 at time 1607965712447
Moved to 538, 421 at time 1607965712827
Moved to 539, 422 at time 1607965713278
Moved to 540, 423 at time 1607965713333
Moved to 541, 424 at time 1607965713974
Moved to 542, 425 at time 1607965714264
Moved to 543, 426 at time 1607965714826
Moved to 544, 427 at time 1607965715150
Moved to 545, 428 at time 1607965715266
Moved to 546, 429 at time 1607965715300
Moved to 547, 430 at time 1607965715335
Moved to 548, 431 at time 1607965715535
Moved to 549, 432 at time 1607965715658
Moved to 550, 433 at time 1607965715708
Moved to 551, 434 at time 1607965715852
Moved to 552, 435 at time 1607965715931
Moved to 553, 436 at time 1607965716312
Moved to 554, 437 at time 1607965716437
Moved to 555, 438 at time 1607965716764
Moved to 556, 439 at time 1607965716814
Moved to 557, 440 at time 1607965716955
Moved to 558, 441 at time 1607965717067
Moved to 559, 442 at time 1607965717198
Moved to 560, 443 at time 1607965717247
Moved to 561, 444 at time 1607965717388
Moved to 562, 445 at time 1607965717431
Moved to 563, 446 at time 1607965717560
Moved to 564, 447 at time 1607965717740
Moved to 565, 448 at time 1607965717778
Moved to 566, 449 at time 1607965717946
Moved to 567, 450 at time 1607965717984
Moved to 568, 451 at time 1607965718273
Moved to 569, 452 at time 1607965718486
Moved to 570, 453 at time 1607965718571
Moved to 571, 454 at time 1607965718645
Moved to 572, 455 at time 1607965718755
Moved to 573, 456 at time 1607965718822
Moved to 574, 457 at time 1607965718905
Moved to 575, 458 at time 1607965718997
Moved to 576, 459 at time 1607965719176
Moved to 577, 460 at time 1607965719323
Moved to 578, 461 at time 1607965719359
Moved to 579, 462 at time 1607965719498
Moved to 580, 463 at time 1607965719821
Moved to 581, 464 at time 1607965720015
Moved to 582, 465 at time 1607965720373
Moved to 583, 466 at time 1607965720548
Moved to 584, 467 at time 1607965720891
Moved to 585, 468 at time 1607965721065
Moved to 586, 469 at time 1607965721414
Moved to 587, 470 at time 1607965721488
Moved to 588, 471 at time 1607965721611
Moved to 589, 472 at time 1607965721809
Moved to 590, 473 at time 1607965721938
Moved to 591, 474 at time 1607965722092
Moved to 592, 475 at time 1607965722212
Moved to 593, 476 at time 1607965722354
Moved to 594, 477 at time 1607965722650
Moved to 595, 478 at time 1607965722760
Moved to 596, 479 at time 1607965723088
Moved to 597, 480 at time 1607965723226
Moved to 598, 481 at time 1607965723470
Moved to 599, 482 at time 1607965723581
Moved to 600, 483 at time 1607965723962
Moved to 601, 484 at time 1607965724112
Moved to 602, 485 at time 1607965724448
Moved to 603, 486 at time 1607965724596
Moved to 604, 487 at time 1607965724946
Moved to 605, 488 at time 1607965725088
Moved to 606, 489 at time 1607965725423
Moved to 607, 490 at time 1607965725551
Moved to 608, 491 at time 1607965725867
Moved to 609, 492 at time 1607965726007
Moved to 610, 493 at time 1607965726333
Moved to 611, 494 at time 1607965726481
Moved to 612, 495 at time 1607965726791
Moved to 613, 496 at time 1607965726934
Moved to 614, 497 at time 1607965727209
Moved to 615, 498 at time 1607965727356
Moved to 616, 499 at time 1607965727673
Moved to 617, 500 at time 1607965727822
Moved to 618, 501 at time 1607965728132
Moved to 619, 502 at time 1607965728276
Moved to 620, 503 at time 1607965728567
Moved to 621, 504 at time 1607965728736
Moved to 622, 505 at time 1607965729060
Moved to 623, 506 at time 1607965729222
Moved to 624, 507 at time 1607965729497
Moved to 625, 508 at time 1607965729541
Moved to 626, 509 at time 1607965729638
Moved to 627, 510 at time 1607965729782
Moved to 628, 511 at time 1607965729871
Moved to 629, 512 at time 1607965729933
Moved to 630, 513 at time 1607965730304
Moved to 631, 514 at time 1607965730513
Moved to 632, 515 at time 1607965730744
Moved to 633, 516 at time 1607965730953
Moved to 634, 517 at time 1607965731179
Moved to 635, 518 at time 1607965731359
Moved to 636, 519 at time 1607965731434
Moved to 637, 520 at time 1607965731484
Moved to 638, 521 at time 1607965731540
Moved to 639, 522 at time 1607965731599
Moved to 640, 523 at time 1607965731650
Moved to 641, 524 at time 1607965731707
Moved to 642, 525 at time 1607965731769
Moved to 643, 526 at time 1607965731819
Moved to 644, 527 at time 1607965731867
Moved to 645, 528 at time 1607965731926
Moved to 644, 529 at time 1607965731968
Moved to 643, 530 at time 1607965732023
Moved to 642, 531 at time 1607965732070
Moved to 641, 532 at time 1607965732131
Moved to 640, 533 at time 1607965732175
Moved to 639, 534 at time 1607965732240
Moved to 638, 535 at time 1607965732286
Moved to 637, 536 at time 1607965732359
Moved to 636, 537 at time 1607965732414
Moved to 635, 538 at time 1607965732475
Moved to 634, 563 at time 1607965735876
Moved to 633, 566 at time 1607965736409
Moved to 632, 567 at time 1607965736480
Moved to 631, 568 at time 1607965736790
Moved to 630, 571 at time 1607965738531
Moved to 629, 570 at time 1607965738942
Moved to 628, 569 at time 1607965739351
Moved to 627, 568 at time 1607965739712
Moved to 626, 567 at time 1607965740099
Moved to 625, 566 at time 1607965740391
Moved to 624, 565 at time 1607965740497
Moved to 623, 564 at time 1607965740642
Moved to 622, 563 at time 1607965740722
Moved to 621, 562 at time 1607965740914
Moved to 620, 561 at time 1607965741114
Moved to 619, 560 at time 1607965741196
Moved to 618, 559 at time 1607965741436
Moved to 617, 558 at time 1607965741792
Moved to 616, 557 at time 1607965742039
Moved to 615, 556 at time 1607965742191
Moved to 614, 555 at time 1607965742409
Moved to 613, 554 at time 1607965742443
Moved to 612, 553 at time 1607965742501
Moved to 611, 552 at time 1607965742562
Moved to 610, 551 at time 1607965742609
Moved to 609, 550 at time 1607965742677
Moved to 608, 549 at time 1607965742721
Moved to 607, 548 at time 1607965742794
Moved to 606, 547 at time 1607965742830
Moved to 605, 546 at time 1607965742909
Moved to 604, 545 at time 1607965743055
Moved to 603, 544 at time 1607965743132
Moved to 602, 543 at time 1607965743172
Moved to 601, 542 at time 1607965743245
Moved to 600, 541 at time 1607965743356
Moved to 599, 540 at time 1607965743398
Moved to 598, 539 at time 1607965743438
Moved to 597, 538 at time 1607965743794
Moved to 596, 537 at time 1607965743958
Moved to 595, 536 at time 1607965744193
Moved to 594, 535 at time 1607965744323
Moved to 593, 534 at time 1607965744561
Moved to 592, 533 at time 1607965744694
Moved to 591, 532 at time 1607965744931
Moved to 590, 531 at time 1607965745048
Moved to 589, 530 at time 1607965745289
Moved to 588, 529 at time 1607965745415
Moved to 587, 528 at time 1607965745657
Moved to 586, 527 at time 1607965745788
Moved to 585, 526 at time 1607965746024
Moved to 584, 525 at time 1607965746150
Moved to 583, 524 at time 1607965746390
Moved to 582, 523 at time 1607965746512
Moved to 581, 522 at time 1607965746722
Moved to 580, 521 at time 1607965746834
Moved to 579, 520 at time 1607965747079
Moved to 578, 519 at time 1607965747193
Moved to 577, 518 at time 1607965747229
Moved to 576, 517 at time 1607965747394
Moved to 575, 516 at time 1607965747585
Moved to 574, 515 at time 1607965747746
Moved to 573, 514 at time 1607965747947
Moved to 572, 513 at time 1607965748093
Moved to 571, 512 at time 1607965748168
Moved to 570, 511 at time 1607965748212
Moved to 569, 510 at time 1607965748277
Moved to 568, 509 at time 1607965748327
Moved to 567, 508 at time 1607965748392
Moved to 566, 507 at time 1607965748432
Moved to 565, 506 at time 1607965748493
Moved to 564, 505 at time 1607965748529
Moved to 563, 504 at time 1607965748571
Moved to 562, 503 at time 1607965748614
Moved to 561, 502 at time 1607965748687
Moved to 560, 501 at time 1607965748834
Moved to 559, 500 at time 1607965748868
Moved to 558, 499 at time 1607965748967
Moved to 557, 498 at time 1607965749045
