Attacked Unit@50c93daaat position 1458, 314 at time 1607968145056
Attacked Unit@3a062195at position 1484, 228 at time 1607968146230
Attacked Unit@3a062195at position 1471, 215 at time 1607968147433
Attacked Unit@3a062195at position 1460, 204 at time 1607968148602
Attacked Unit@3410e711at position 1548, 348 at time 1607968149787
Attacked Unit@3a062195at position 1433, 177 at time 1607968150974
Attacked Unit@3410e711at position 1517, 317 at time 1607968152174
Attacked Unit@3410e711at position 1505, 305 at time 1607968153287
Attacked Unit@76126528at position 1452, 239 at time 1607968264773
Attacked Unit@3410e711at position 1470, 270 at time 1607968266122
Attacked Unit@50c93daaat position 1319, 175 at time 1607968267238
Attacked Unit@3a062195at position 1326, 100 at time 1607968268387
Attacked Unit@50c93daaat position 1264, 120 at time 1607968269541
Attacked Unit@50c93daaat position 1239, 100 at time 1607968270670
Attacked Unit@3a062195at position 1243, 100 at time 1607968271820
Attacked Unit@50c93daaat position 1203, 100 at time 1607968272944
Attacked Unit@50c93daaat position 1187, 100 at time 1607968274212
Attacked Unit@31101318at position 1139, 100 at time 1607968275439
Attacked Unit@3a062195at position 1186, 100 at time 1607968276827
Attacked Unit@76126528at position 1299, 100 at time 1607968278007
Attacked Unit@3a062195at position 1140, 100 at time 1607968279202
Attacked Unit@50c93daaat position 1090, 100 at time 1607968280378
Attacked Unit@3410e711at position 1219, 100 at time 1607968281553
Attacked Unit@50c93daaat position 1047, 100 at time 1607968282682
Attacked Unit@31101318at position 975, 100 at time 1607968283804
Attacked Unit@50c93daaat position 988, 100 at time 1607968284936
Attacked Unit@3410e711at position 1112, 100 at time 1607968286100
Attacked Unit@31101318at position 897, 100 at time 1607968287294
Attacked Unit@50c93daaat position 934, 100 at time 1607968288435
Attacked Unit@3410e711at position 1044, 100 at time 1607968289582
Attacked Unit@76126528at position 1054, 100 at time 1607968290744
Attacked Unit@50c93daaat position 878, 100 at time 1607968291903
Attacked Unit@3a062195at position 896, 100 at time 1607968293069
Attacked Unit@76126528at position 1023, 100 at time 1607968294184
Attacked Unit@3410e711at position 971, 100 at time 1607968295315
Attacked Unit@3410e711at position 938, 100 at time 1607968296457
Attacked Unit@76126528at position 951, 100 at time 1607968297654
Attacked Unit@3410e711at position 909, 100 at time 1607968298770
Attacked Unit@76126528at position 928, 100 at time 1607968299884
Attacked Unit@76126528at position 918, 100 at time 1607968301044
Attacked Unit@3410e711at position 877, 100 at time 1607968302234
Attacked Unit@76126528at position 894, 100 at time 1607968303406
Attacked Unit@76126528at position 885, 100 at time 1607968304561
Attacked Unit@76126528at position 875, 100 at time 1607968305856
