Moved to 245, 1997 at time 1607967053434
Moved to 244, 1998 at time 1607967053779
Moved to 243, 1999 at time 1607967097507
Moved to 242, 2000 at time 1607967097808
Moved to 241, 2001 at time 1607967097855
Moved to 240, 2002 at time 1607967098042
Moved to 239, 2003 at time 1607967098239
Moved to 238, 2004 at time 1607967098440
Moved to 237, 2005 at time 1607967098607
Moved to 236, 2006 at time 1607967098674
Moved to 235, 2007 at time 1607967098881
Moved to 234, 2008 at time 1607967098968
Moved to 233, 2009 at time 1607967099248
Moved to 232, 2010 at time 1607967099572
Moved to 231, 2011 at time 1607967099610
Moved to 230, 2012 at time 1607967099967
Moved to 229, 2013 at time 1607967100081
Moved to 228, 2014 at time 1607967100272
Moved to 227, 2015 at time 1607967100793
Moved to 226, 2016 at time 1607967100955
Moved to 225, 2017 at time 1607967100990
Moved to 224, 2018 at time 1607967101402
Moved to 223, 2019 at time 1607967101438
Moved to 222, 2020 at time 1607967101718
Moved to 221, 2021 at time 1607967101839
Moved to 220, 2022 at time 1607967102028
Moved to 219, 2023 at time 1607967102178
Moved to 218, 2024 at time 1607967102446
Moved to 217, 2025 at time 1607967102826
Moved to 216, 2026 at time 1607967103256
Moved to 215, 2027 at time 1607967103428
Moved to 214, 2028 at time 1607967103564
Moved to 213, 2029 at time 1607967103766
Moved to 212, 2030 at time 1607967103854
Moved to 211, 2031 at time 1607967103893
Moved to 210, 2032 at time 1607967104057
Moved to 209, 2033 at time 1607967104314
Moved to 208, 2034 at time 1607967104519
Moved to 207, 2035 at time 1607967104947
Moved to 206, 2036 at time 1607967105060
Moved to 205, 2037 at time 1607967105513
Moved to 204, 2038 at time 1607967105770
Moved to 203, 2039 at time 1607967106014
Moved to 202, 2040 at time 1607967106100
Moved to 201, 2041 at time 1607967106134
Moved to 200, 2042 at time 1607967106404
Moved to 199, 2043 at time 1607967106498
Moved to 198, 2044 at time 1607967106742
Moved to 197, 2045 at time 1607967106926
Moved to 196, 2046 at time 1607967107132
Moved to 195, 2047 at time 1607967107225
Moved to 194, 2048 at time 1607967107561
Moved to 193, 2049 at time 1607967107600
Moved to 192, 2050 at time 1607967107680
Attacked Unit@3a07d253at position 114, 2319 at time 1607967107718
Moved to 191, 2051 at time 1607967107891
Moved to 190, 2052 at time 1607967107975
Moved to 189, 2053 at time 1607967108017
Got attacked at 189, 2053 by Unit@347f7f86 at time 1607967108051
Attacked Unit@347f7f86at position 82, 2322 at time 1607967109714
Attacked Unit@347f7f86at position 82, 2322 at time 1607967111577
Moved to 188, 2054 at time 1607967111950
Got attacked at 188, 2054 by Unit@3416545c at time 1607967112002
Attacked Unit@5f66446cat position 108, 2323 at time 1607967113600
Got attacked at 188, 2054 by Unit@3416545c at time 1607967113949
Attacked Unit@5f66446cat position 108, 2323 at time 1607967115417
Got attacked at 188, 2054 by Unit@3416545c at time 1607967115528
Attacked Unit@3416545cat position 218, 2323 at time 1607967117088
Attacked Unit@3416545cat position 218, 2323 at time 1607967118772
Attacked Unit@4deda942at position 181, 2323 at time 1607967120453
Got attacked at 188, 2054 by Unit@3416545c at time 1607967120868
Got attacked at 188, 2054 by Unit@7715416d at time 1607967121065
Attacked Unit@7d0648d4at position 139, 2323 at time 1607967122211
Got attacked at 188, 2054 by Unit@7d0648d4 at time 1607967122619
Got attacked at 188, 2054 by Unit@3416545c at time 1607967122637
Died at 188, 2054 at time 1607967122669
