Attacked Unit@95973b8at position 1013, 305 at time 1607965644542
Attacked Unit@2ee4badat position 910, 594 at time 1607965646552
Attacked Unit@6da82ddat position 854, 698 at time 1607965707910
Attacked Unit@24bd10dfat position 887, 324 at time 1607965709876
Attacked Unit@59c4b8dat position 848, 429 at time 1607965711660
Attacked Unit@2d0e4b7eat position 971, 383 at time 1607965713456
Moved to 958, 474 at time 1607965714183
Moved to 959, 475 at time 1607965714414
Moved to 960, 476 at time 1607965714668
Moved to 961, 477 at time 1607965714975
Moved to 962, 478 at time 1607965715086
Moved to 963, 479 at time 1607965715169
Moved to 964, 480 at time 1607965715247
Moved to 965, 481 at time 1607965715303
Moved to 966, 482 at time 1607965715408
Moved to 967, 483 at time 1607965715476
Moved to 968, 484 at time 1607965715563
Moved to 969, 485 at time 1607965715628
Moved to 970, 486 at time 1607965715738
Moved to 971, 487 at time 1607965715796
Moved to 972, 488 at time 1607965716006
Moved to 973, 489 at time 1607965716241
Moved to 974, 490 at time 1607965716528
Moved to 975, 491 at time 1607965716723
Moved to 976, 492 at time 1607965716865
Moved to 977, 493 at time 1607965716923
Moved to 978, 494 at time 1607965717097
Moved to 979, 495 at time 1607965717133
Moved to 980, 496 at time 1607965717313
Moved to 981, 497 at time 1607965717521
Moved to 982, 500 at time 1607965717771
Moved to 983, 502 at time 1607965718300
Moved to 984, 503 at time 1607965718468
Moved to 985, 504 at time 1607965718583
Moved to 986, 505 at time 1607965718620
Moved to 987, 506 at time 1607965718782
Moved to 988, 507 at time 1607965718957
Moved to 989, 508 at time 1607965719225
Moved to 990, 509 at time 1607965719284
Moved to 991, 510 at time 1607965719611
Attacked Unit@1afdf804at position 1044, 795 at time 1607965722046
Moved to 992, 527 at time 1607965722131
Moved to 993, 528 at time 1607965722173
Moved to 994, 529 at time 1607965722261
Moved to 995, 530 at time 1607965722306
Moved to 996, 531 at time 1607965722405
Moved to 997, 532 at time 1607965722583
Moved to 998, 533 at time 1607965722821
Moved to 999, 534 at time 1607965723003
Moved to 1000, 535 at time 1607965723306
Moved to 1001, 536 at time 1607965723423
Moved to 1002, 537 at time 1607965723658
Moved to 1003, 538 at time 1607965723887
Moved to 1004, 539 at time 1607965724190
Moved to 1005, 540 at time 1607965724376
Moved to 1006, 541 at time 1607965724673
Moved to 1007, 542 at time 1607965724870
Moved to 1008, 543 at time 1607965725155
Moved to 1009, 544 at time 1607965725359
Moved to 1010, 545 at time 1607965725614
Moved to 1011, 546 at time 1607965725806
Moved to 1012, 547 at time 1607965726072
Moved to 1013, 548 at time 1607965726267
Moved to 1014, 549 at time 1607965726548
Moved to 1015, 550 at time 1607965726720
Moved to 1016, 551 at time 1607965726992
Moved to 1017, 552 at time 1607965727148
Moved to 1018, 553 at time 1607965727418
Moved to 1019, 554 at time 1607965727612
Moved to 1020, 555 at time 1607965727890
Moved to 1021, 556 at time 1607965728074
Moved to 1022, 557 at time 1607965728335
Moved to 1023, 558 at time 1607965728509
Moved to 1024, 559 at time 1607965728544
Moved to 1025, 560 at time 1607965728758
Moved to 1026, 561 at time 1607965729038
Moved to 1027, 562 at time 1607965729238
Moved to 1028, 563 at time 1607965729486
Moved to 1029, 564 at time 1607965729550
Moved to 1030, 565 at time 1607965729633
Moved to 1031, 566 at time 1607965729675
Attacked Unit@5283abe1at position 920, 835 at time 1607965729738
Attacked Unit@5283abe1at position 920, 835 at time 1607965731423
Moved to 1032, 567 at time 1607965732003
Moved to 1033, 568 at time 1607965732090
Moved to 1034, 569 at time 1607965732218
Moved to 1035, 570 at time 1607965732315
Moved to 1036, 571 at time 1607965732456
Moved to 1037, 572 at time 1607965732622
Moved to 1038, 573 at time 1607965732738
Moved to 1039, 574 at time 1607965733014
Moved to 1040, 575 at time 1607965733154
Moved to 1041, 576 at time 1607965733447
Moved to 1042, 577 at time 1607965733483
Moved to 1043, 578 at time 1607965733531
Moved to 1044, 579 at time 1607965733923
