Attacked Unit@378f4140at position 812, 305 at time 1607905322017
Attacked Unit@6ecf4b5at position 612, 308 at time 1607905465234
Attacked Unit@4f6e97a0at position 719, 482 at time 1607905466888
Attacked Unit@289d4c8eat position 1026, 263 at time 1607905468622
Got attacked at 781, 346 by Unit@23f247f3 at time 1607905470256
Got attacked at 781, 346 by Unit@3435eb5 at time 1607905470269
Got attacked at 781, 346 by Unit@e04d87e at time 1607905470322
Got attacked at 781, 346 by Unit@2031b0ef at time 1607905470333
Attacked Unit@e04d87eat position 1013, 537 at time 1607905470418
Got attacked at 781, 346 by Unit@c9deb08 at time 1607905471867
Got attacked at 781, 346 by Unit@3435eb5 at time 1607905471969
Got attacked at 781, 346 by Unit@23f247f3 at time 1607905472022
Got attacked at 781, 346 by Unit@e04d87e at time 1607905472044
Attacked Unit@e04d87eat position 1013, 537 at time 1607905472068
Died at 781, 346 at time 1607905472068
