Attacked Unit@44f7debfat position 1665, 569 at time 1607967053561
Attacked Unit@784ec523at position 1607, 583 at time 1607967097334
Got attacked at 1464, 427 by Unit@5f96c7d4 at time 1607967097498
Attacked Unit@5f96c7d4at position 1571, 630 at time 1607967099206
Attacked Unit@37e65db0at position 1574, 690 at time 1607967101454
Attacked Unit@37e65db0at position 1574, 690 at time 1607967103252
Moved to 1465, 428 at time 1607967103429
Moved to 1466, 429 at time 1607967103563
Moved to 1467, 430 at time 1607967103733
Moved to 1468, 431 at time 1607967103881
Moved to 1469, 432 at time 1607967103956
Moved to 1470, 433 at time 1607967104054
Moved to 1471, 434 at time 1607967104321
Moved to 1472, 435 at time 1607967104509
Moved to 1473, 436 at time 1607967104644
Moved to 1474, 437 at time 1607967104893
Moved to 1475, 438 at time 1607967105118
Moved to 1476, 439 at time 1607967105462
Moved to 1477, 440 at time 1607967105824
Moved to 1478, 441 at time 1607967105979
Moved to 1479, 442 at time 1607967106151
Moved to 1480, 443 at time 1607967106383
Moved to 1481, 444 at time 1607967106512
Moved to 1482, 445 at time 1607967106713
Moved to 1483, 446 at time 1607967106947
Moved to 1484, 447 at time 1607967107115
Moved to 1485, 448 at time 1607967107250
Moved to 1486, 449 at time 1607967107394
Moved to 1487, 450 at time 1607967107545
Moved to 1488, 451 at time 1607967107614
Moved to 1489, 452 at time 1607967107672
Moved to 1490, 453 at time 1607967107730
Moved to 1491, 454 at time 1607967107802
Moved to 1492, 455 at time 1607967107898
Moved to 1493, 456 at time 1607967107964
Moved to 1494, 457 at time 1607967108027
Moved to 1495, 458 at time 1607967108083
Moved to 1496, 459 at time 1607967108138
Moved to 1497, 460 at time 1607967108213
Attacked Unit@33b6f473at position 1636, 729 at time 1607967108265
Attacked Unit@33b6f473at position 1636, 729 at time 1607967109970
Moved to 1498, 461 at time 1607967110846
Moved to 1499, 462 at time 1607967111012
Moved to 1500, 463 at time 1607967111275
Moved to 1501, 464 at time 1607967111451
Moved to 1502, 465 at time 1607967111892
Moved to 1503, 466 at time 1607967111927
Moved to 1504, 467 at time 1607967112134
Moved to 1505, 468 at time 1607967112442
Moved to 1506, 469 at time 1607967112479
Moved to 1507, 470 at time 1607967112514
Moved to 1508, 471 at time 1607967112719
