Attacked Unit@6f187530at position 144, 1050 at time 1607968145059
Attacked Unit@273aea4eat position 130, 977 at time 1607968146173
Attacked Unit@6f187530at position 124, 1030 at time 1607968147358
Attacked Unit@5ba4ea77at position 100, 1047 at time 1607968148624
Attacked Unit@5ba4ea77at position 100, 1037 at time 1607968149761
Attacked Unit@5ba4ea77at position 100, 1019 at time 1607968151024
Attacked Unit@df21797at position 100, 921 at time 1607968152288
Attacked Unit@5ba4ea77at position 100, 987 at time 1607968153537
Attacked Unit@273aea4eat position 100, 884 at time 1607968264772
Attacked Unit@df21797at position 100, 881 at time 1607968266009
Attacked Unit@df21797at position 100, 858 at time 1607968267176
Attacked Unit@6f187530at position 100, 894 at time 1607968268317
Attacked Unit@df21797at position 100, 803 at time 1607968269489
Attacked Unit@6f187530at position 100, 849 at time 1607968270648
Attacked Unit@78b244f3at position 100, 719 at time 1607968271842
Attacked Unit@1a38ee3eat position 523, 507 at time 1607968273133
Attacked Unit@df21797at position 100, 721 at time 1607968274454
Attacked Unit@df21797at position 100, 701 at time 1607968275603
Attacked Unit@6f187530at position 100, 766 at time 1607968276945
Attacked Unit@273aea4eat position 100, 688 at time 1607968278123
Attacked Unit@5ba4ea77at position 100, 774 at time 1607968279244
Attacked Unit@df21797at position 100, 628 at time 1607968280429
Attacked Unit@780b8fe6at position 382, 482 at time 1607968282697
Attacked Unit@df21797at position 100, 567 at time 1607968283863
Attacked Unit@273aea4eat position 100, 544 at time 1607968285003
Attacked Unit@df21797at position 100, 514 at time 1607968286177
Attacked Unit@df21797at position 100, 482 at time 1607968287415
Attacked Unit@df21797at position 100, 473 at time 1607968288558
Attacked Unit@273aea4eat position 100, 452 at time 1607968289693
Attacked Unit@5ba4ea77at position 100, 527 at time 1607968290812
Attacked Unit@5ba4ea77at position 100, 522 at time 1607968291984
Attacked Unit@5ba4ea77at position 100, 516 at time 1607968293236
Attacked Unit@6f187530at position 100, 481 at time 1607968294372
Attacked Unit@5ba4ea77at position 100, 474 at time 1607968295529
Attacked Unit@5ba4ea77at position 100, 432 at time 1607968296764
