Attacked Unit@59960d38at position 1108, 1183 at time 1607970695566
Got attacked at 993, 1130 by Unit@38fe9840 at time 1607970715425
Attacked Unit@38fe9840at position 1144, 1204 at time 1607970715430
Got attacked at 993, 1130 by Unit@393f2317 at time 1607970717098
Attacked Unit@38fe9840at position 1144, 1204 at time 1607970717120
Attacked Unit@393f2317at position 1091, 1207 at time 1607970718931
Got attacked at 993, 1130 by Unit@5375c243 at time 1607970720570
Attacked Unit@38fe9840at position 1144, 1204 at time 1607970720627
Moved to 992, 1131 at time 1607970722228
Moved to 991, 1132 at time 1607970722282
Moved to 990, 1133 at time 1607970722317
Moved to 989, 1134 at time 1607970722353
Moved to 988, 1135 at time 1607970722388
Moved to 987, 1136 at time 1607970722427
Moved to 986, 1137 at time 1607970722462
Moved to 985, 1138 at time 1607970722501
Moved to 984, 1139 at time 1607970722538
Moved to 983, 1140 at time 1607970722574
Moved to 982, 1141 at time 1607970722609
Moved to 981, 1142 at time 1607970722645
Moved to 980, 1143 at time 1607970722683
Moved to 979, 1144 at time 1607970722718
Moved to 978, 1145 at time 1607970722754
Moved to 977, 1146 at time 1607970722788
Moved to 976, 1147 at time 1607970722823
Moved to 975, 1146 at time 1607970722859
Moved to 974, 1147 at time 1607970722894
Moved to 973, 1148 at time 1607970722930
Moved to 972, 1149 at time 1607970722965
Moved to 971, 1150 at time 1607970722999
Moved to 970, 1151 at time 1607970723037
Moved to 969, 1152 at time 1607970723074
Moved to 968, 1153 at time 1607970723110
Moved to 967, 1154 at time 1607970723147
Moved to 966, 1155 at time 1607970723187
Moved to 965, 1156 at time 1607970723221
Moved to 964, 1157 at time 1607970723258
Moved to 963, 1158 at time 1607970723295
Moved to 962, 1159 at time 1607970723332
Moved to 961, 1160 at time 1607970723369
Moved to 960, 1159 at time 1607970723404
Moved to 959, 1160 at time 1607970723441
