Attacked Unit@39374a7at position 708, 317 at time 1607904712338
Attacked Unit@4ffd585fat position 614, 286 at time 1607904725452
Attacked Unit@3af6bb76at position 755, 333 at time 1607904750341
Moved to 592, 222 at time 1607904750797
Moved to 593, 221 at time 1607904750896
Moved to 594, 220 at time 1607904750949
Moved to 595, 219 at time 1607904751047
Attacked Unit@14a9bb91at position 764, 264 at time 1607904752080
Moved to 596, 218 at time 1607904753760
Moved to 597, 219 at time 1607904753848
Moved to 598, 220 at time 1607904753931
Moved to 599, 221 at time 1607904754013
Moved to 600, 222 at time 1607904754097
Moved to 601, 223 at time 1607904754176
Moved to 602, 224 at time 1607904754244
Moved to 603, 225 at time 1607904754326
Moved to 604, 226 at time 1607904754399
Moved to 605, 227 at time 1607904754464
Moved to 606, 228 at time 1607904754521
Moved to 607, 229 at time 1607904754598
Moved to 608, 230 at time 1607904754667
Moved to 609, 231 at time 1607904754727
Moved to 610, 232 at time 1607904754811
Moved to 611, 233 at time 1607904754875
Moved to 612, 234 at time 1607904754932
Moved to 613, 235 at time 1607904754994
Moved to 614, 236 at time 1607904755061
Moved to 615, 237 at time 1607904755122
Moved to 616, 238 at time 1607904755178
Moved to 617, 239 at time 1607904755270
Moved to 618, 240 at time 1607904755351
Moved to 619, 239 at time 1607904755435
Moved to 620, 240 at time 1607904755498
Moved to 621, 241 at time 1607904755560
Moved to 622, 242 at time 1607904755614
Moved to 623, 243 at time 1607904755689
Moved to 624, 244 at time 1607904755764
Moved to 625, 245 at time 1607904755824
Moved to 626, 246 at time 1607904755896
Moved to 627, 247 at time 1607904755975
Moved to 628, 248 at time 1607904756047
Moved to 629, 249 at time 1607904756144
Moved to 630, 250 at time 1607904756218
Moved to 631, 251 at time 1607904756300
Moved to 632, 252 at time 1607904756364
Moved to 633, 253 at time 1607904756424
Moved to 634, 254 at time 1607904756477
Moved to 635, 255 at time 1607904756561
Moved to 636, 256 at time 1607904756622
Moved to 637, 257 at time 1607904756694
Moved to 638, 258 at time 1607904756773
Moved to 639, 259 at time 1607904756835
Moved to 640, 260 at time 1607904756918
Moved to 641, 261 at time 1607904757028
Moved to 642, 262 at time 1607904757132
Moved to 643, 263 at time 1607904757196
Moved to 644, 264 at time 1607904757252
Moved to 645, 265 at time 1607904757354
Moved to 646, 266 at time 1607904757408
Moved to 647, 267 at time 1607904757462
Moved to 648, 268 at time 1607904757535
Moved to 649, 269 at time 1607904757613
Moved to 650, 270 at time 1607904757694
Moved to 651, 271 at time 1607904757775
Moved to 652, 272 at time 1607904757849
Moved to 653, 273 at time 1607904757926
Moved to 654, 274 at time 1607904757994
Moved to 655, 275 at time 1607904758045
Moved to 656, 276 at time 1607904758113
Moved to 657, 277 at time 1607904758168
Moved to 658, 278 at time 1607904758249
Moved to 659, 279 at time 1607904758337
Moved to 660, 280 at time 1607904758407
Moved to 661, 281 at time 1607904758493
Moved to 662, 282 at time 1607904758566
Moved to 663, 283 at time 1607904758639
Moved to 664, 284 at time 1607904758702
Moved to 665, 285 at time 1607904758773
Moved to 664, 284 at time 1607904758854
Moved to 663, 283 at time 1607904758911
Moved to 662, 282 at time 1607904758965
Moved to 661, 281 at time 1607904759032
Moved to 660, 280 at time 1607904759116
Moved to 659, 279 at time 1607904759203
Moved to 658, 278 at time 1607904759261
Moved to 657, 277 at time 1607904759316
Moved to 651, 275 at time 1607904759794
Moved to 650, 274 at time 1607904759868
Moved to 649, 273 at time 1607904759930
Moved to 648, 272 at time 1607904760005
Moved to 647, 271 at time 1607904760099
Moved to 646, 270 at time 1607904760151
Moved to 645, 269 at time 1607904760203
Moved to 644, 268 at time 1607904760277
Moved to 643, 267 at time 1607904760351
Moved to 642, 266 at time 1607904760414
Moved to 641, 265 at time 1607904760475
Moved to 640, 264 at time 1607904760544
Moved to 639, 263 at time 1607904760617
Moved to 638, 262 at time 1607904760668
Moved to 637, 261 at time 1607904760746
Moved to 636, 260 at time 1607904760810
Moved to 635, 259 at time 1607904760869
Moved to 634, 258 at time 1607904760928
Moved to 633, 257 at time 1607904760980
Moved to 632, 256 at time 1607904761040
Moved to 631, 255 at time 1607904761114
Moved to 630, 254 at time 1607904761185
Moved to 629, 253 at time 1607904761265
Moved to 628, 252 at time 1607904761321
Moved to 627, 251 at time 1607904761401
Moved to 626, 250 at time 1607904761455
Moved to 625, 249 at time 1607904761512
Moved to 624, 248 at time 1607904761566
Moved to 623, 247 at time 1607904761628
Moved to 622, 246 at time 1607904761694
Moved to 621, 245 at time 1607904761775
Moved to 620, 244 at time 1607904761853
Moved to 619, 243 at time 1607904761928
Moved to 618, 242 at time 1607904761989
Moved to 617, 241 at time 1607904762042
Moved to 616, 240 at time 1607904762129
Moved to 615, 239 at time 1607904762191
Moved to 614, 238 at time 1607904762246
Moved to 613, 237 at time 1607904762298
Moved to 612, 236 at time 1607904762351
Moved to 611, 235 at time 1607904762403
Moved to 610, 234 at time 1607904762476
Moved to 609, 233 at time 1607904762585
Moved to 608, 232 at time 1607904762652
Moved to 607, 231 at time 1607904762716
Moved to 606, 230 at time 1607904762783
Moved to 605, 229 at time 1607904762845
Moved to 604, 228 at time 1607904762920
Moved to 603, 227 at time 1607904762990
Moved to 602, 226 at time 1607904763051
Moved to 601, 225 at time 1607904763118
Moved to 600, 224 at time 1607904763176
Moved to 599, 223 at time 1607904763233
