Attacked Unit@67299314at position 669, 305 at time 1607905322164
Attacked Unit@16cd4393at position 633, 302 at time 1607905465251
Attacked Unit@4f6e97a0at position 719, 482 at time 1607905467119
Attacked Unit@31688839at position 652, 393 at time 1607905468706
Attacked Unit@31c3a684at position 491, 429 at time 1607905470366
Attacked Unit@4769ee54at position 437, 487 at time 1607905472090
Attacked Unit@1477d0a3at position 499, 555 at time 1607905473820
Attacked Unit@1477d0a3at position 499, 555 at time 1607905475503
Moved to 459, 328 at time 1607905477135
Moved to 460, 329 at time 1607905477170
Moved to 461, 330 at time 1607905477239
Moved to 462, 331 at time 1607905477302
Moved to 463, 332 at time 1607905477360
Moved to 464, 333 at time 1607905477421
Moved to 465, 334 at time 1607905477473
Moved to 466, 335 at time 1607905477530
Moved to 467, 336 at time 1607905477600
Moved to 468, 337 at time 1607905477658
Moved to 469, 338 at time 1607905477714
Moved to 470, 339 at time 1607905477760
Moved to 471, 340 at time 1607905477824
Moved to 472, 341 at time 1607905477890
Moved to 473, 342 at time 1607905477925
Moved to 474, 343 at time 1607905477987
Moved to 475, 344 at time 1607905478025
Moved to 476, 345 at time 1607905478069
Moved to 477, 346 at time 1607905478110
Attacked Unit@23b85ce1at position 746, 518 at time 1607905478159
Moved to 478, 347 at time 1607905479460
Moved to 479, 348 at time 1607905479523
Moved to 480, 349 at time 1607905479585
Moved to 481, 350 at time 1607905479627
Moved to 482, 351 at time 1607905479688
Moved to 483, 352 at time 1607905479748
Moved to 484, 353 at time 1607905479805
Moved to 485, 354 at time 1607905479842
Moved to 486, 355 at time 1607905479888
Moved to 487, 356 at time 1607905479928
Moved to 488, 357 at time 1607905479976
Moved to 489, 358 at time 1607905480027
Moved to 490, 359 at time 1607905480073
Moved to 491, 360 at time 1607905480110
Moved to 492, 361 at time 1607905480160
Moved to 493, 362 at time 1607905480214
Moved to 494, 363 at time 1607905480276
Moved to 495, 364 at time 1607905480314
Moved to 496, 365 at time 1607905480376
Moved to 497, 366 at time 1607905480437
Moved to 498, 367 at time 1607905480490
Moved to 499, 368 at time 1607905480543
Moved to 500, 369 at time 1607905480588
Moved to 501, 370 at time 1607905480631
Moved to 502, 371 at time 1607905480691
Moved to 503, 372 at time 1607905480752
Moved to 504, 373 at time 1607905480805
Moved to 505, 374 at time 1607905480854
Moved to 506, 375 at time 1607905480887
Moved to 507, 376 at time 1607905480940
Moved to 508, 377 at time 1607905480988
Moved to 509, 378 at time 1607905481042
Moved to 510, 379 at time 1607905481103
Moved to 511, 380 at time 1607905481156
Moved to 512, 381 at time 1607905481210
Moved to 513, 382 at time 1607905481255
Moved to 514, 383 at time 1607905481312
Moved to 515, 384 at time 1607905481360
Moved to 516, 385 at time 1607905481410
Moved to 517, 386 at time 1607905481472
Moved to 518, 387 at time 1607905481526
Moved to 519, 388 at time 1607905481571
Moved to 520, 389 at time 1607905481607
Moved to 521, 390 at time 1607905481671
Moved to 522, 391 at time 1607905481724
Attacked Unit@4e7ea10fat position 791, 568 at time 1607905481776
Got attacked at 522, 391 by Unit@4e7ea10f at time 1607905482193
Attacked Unit@4e7ea10fat position 791, 568 at time 1607905483476
Moved to 523, 392 at time 1607905483654
Moved to 524, 393 at time 1607905483695
Moved to 525, 394 at time 1607905483732
Moved to 526, 395 at time 1607905483777
Moved to 527, 396 at time 1607905483828
Moved to 528, 397 at time 1607905483876
Moved to 529, 398 at time 1607905483926
Moved to 530, 399 at time 1607905483964
Moved to 531, 400 at time 1607905484010
Moved to 532, 401 at time 1607905484076
Moved to 533, 402 at time 1607905484117
Moved to 534, 403 at time 1607905484157
Moved to 535, 404 at time 1607905484236
Moved to 536, 405 at time 1607905484288
Moved to 537, 406 at time 1607905484338
Moved to 538, 407 at time 1607905484378
Moved to 539, 408 at time 1607905484419
Moved to 540, 409 at time 1607905484456
Attacked Unit@4fe59b36at position 809, 653 at time 1607905485171
Got attacked at 540, 409 by Unit@4fe59b36 at time 1607905485795
Attacked Unit@4fe59b36at position 809, 653 at time 1607905486830
Attacked Unit@4fe59b36at position 809, 653 at time 1607905488528
Moved to 564, 408 at time 1607905490019
Moved to 567, 407 at time 1607905490124
Moved to 569, 406 at time 1607905490193
Moved to 570, 405 at time 1607905490227
Moved to 572, 404 at time 1607905490297
Moved to 573, 403 at time 1607905490331
Moved to 574, 402 at time 1607905490398
Moved to 576, 325 at time 1607905494590
Moved to 579, 323 at time 1607905494729
Moved to 580, 322 at time 1607905494766
Moved to 582, 321 at time 1607905494867
Moved to 583, 320 at time 1607905494902
Moved to 584, 319 at time 1607905494937
Moved to 585, 318 at time 1607905494975
Moved to 587, 317 at time 1607905495045
Moved to 588, 316 at time 1607905495080
Moved to 590, 315 at time 1607905495148
Moved to 591, 314 at time 1607905495215
Moved to 593, 313 at time 1607905495285
Attacked Unit@7ada41fbat position 535, 582 at time 1607905499102
Got attacked at 595, 313 by Unit@20185279 at time 1607905499110
Got attacked at 595, 313 by Unit@7ada41fb at time 1607905499114
Got attacked at 595, 313 by Unit@1d653461 at time 1607905499167
Got attacked at 595, 313 by Unit@4cc43599 at time 1607905499172
Got attacked at 595, 313 by Unit@df21797 at time 1607905499229
Died at 595, 313 at time 1607905499242
