Attacked Unit@7dd253dfat position 442, 677 at time 1607904712239
Attacked Unit@5f4f3e8eat position 367, 758 at time 1607904725389
Attacked Unit@14b4cb7at position 408, 839 at time 1607904750327
Attacked Unit@17eceab6at position 33, 896 at time 1607904752038
Attacked Unit@17eceab6at position 33, 896 at time 1607904753716
Moved to 250, 688 at time 1607904753800
Moved to 251, 689 at time 1607904753865
Moved to 252, 690 at time 1607904753931
Moved to 253, 689 at time 1607904753997
Moved to 254, 688 at time 1607904754041
Moved to 255, 687 at time 1607904754083
Moved to 256, 686 at time 1607904754217
Moved to 257, 685 at time 1607904754267
Moved to 258, 684 at time 1607904754317
Moved to 259, 683 at time 1607904754384
Moved to 260, 682 at time 1607904754430
Moved to 261, 681 at time 1607904754491
Moved to 262, 680 at time 1607904754547
Moved to 263, 679 at time 1607904754589
Moved to 264, 678 at time 1607904754686
Moved to 265, 677 at time 1607904754755
Moved to 266, 676 at time 1607904754800
Moved to 267, 675 at time 1607904754861
Moved to 268, 674 at time 1607904754926
Moved to 269, 673 at time 1607904754980
Moved to 270, 672 at time 1607904755051
Moved to 271, 671 at time 1607904755116
Moved to 272, 670 at time 1607904755162
Moved to 273, 669 at time 1607904755197
Moved to 274, 668 at time 1607904755273
Moved to 275, 667 at time 1607904755327
Moved to 276, 668 at time 1607904755397
Moved to 277, 669 at time 1607904755461
Moved to 278, 668 at time 1607904755533
Moved to 279, 667 at time 1607904755576
Moved to 280, 666 at time 1607904755656
Moved to 281, 665 at time 1607904755728
Moved to 282, 664 at time 1607904755777
Moved to 283, 663 at time 1607904755827
Moved to 284, 662 at time 1607904755872
Moved to 285, 661 at time 1607904755939
Moved to 286, 660 at time 1607904755982
Moved to 287, 659 at time 1607904756055
Moved to 288, 658 at time 1607904756117
Moved to 289, 657 at time 1607904756160
Moved to 290, 656 at time 1607904756223
Moved to 291, 655 at time 1607904756279
Moved to 292, 654 at time 1607904756333
Moved to 293, 653 at time 1607904756378
Moved to 294, 652 at time 1607904756428
Moved to 295, 651 at time 1607904756488
Moved to 296, 650 at time 1607904756529
Moved to 297, 649 at time 1607904756599
Moved to 298, 648 at time 1607904756667
Moved to 299, 647 at time 1607904756703
Moved to 300, 646 at time 1607904756744
Moved to 301, 645 at time 1607904756780
Moved to 302, 646 at time 1607904756848
Moved to 303, 647 at time 1607904756928
Moved to 304, 648 at time 1607904756982
Moved to 305, 649 at time 1607904757039
Moved to 306, 650 at time 1607904757093
Moved to 307, 651 at time 1607904757129
Moved to 308, 652 at time 1607904757166
Moved to 309, 653 at time 1607904757215
Moved to 310, 654 at time 1607904757250
Moved to 311, 655 at time 1607904757333
Moved to 312, 656 at time 1607904757395
Moved to 313, 657 at time 1607904757434
Moved to 314, 658 at time 1607904757484
Moved to 315, 659 at time 1607904757530
Moved to 316, 660 at time 1607904757577
Moved to 317, 661 at time 1607904757615
Moved to 318, 662 at time 1607904757680
Moved to 319, 663 at time 1607904757715
Moved to 320, 664 at time 1607904757782
Moved to 321, 665 at time 1607904757827
Moved to 322, 666 at time 1607904757889
Moved to 323, 667 at time 1607904757934
Moved to 324, 668 at time 1607904757969
Moved to 325, 669 at time 1607904758019
Moved to 326, 670 at time 1607904758084
Moved to 327, 671 at time 1607904758129
Moved to 328, 672 at time 1607904758173
Moved to 329, 673 at time 1607904758244
Moved to 330, 674 at time 1607904758315
Moved to 331, 675 at time 1607904758384
Moved to 332, 676 at time 1607904758435
