Attacked Unit@1704a4cfat position 544, 955 at time 1607971746083
Attacked Unit@1704a4cfat position 637, 1000 at time 1607971747197
Attacked Unit@6082e130at position 616, 1000 at time 1607971748311
Attacked Unit@199fba61at position 710, 1000 at time 1607971749425
Attacked Unit@5081f3cfat position 773, 852 at time 1607971750537
Attacked Unit@3f2d0bd3at position 811, 890 at time 1607971751650
Attacked Unit@199fba61at position 850, 1071 at time 1607971752764
Attacked Unit@6082e130at position 748, 1173 at time 1607971753876
Attacked Unit@6082e130at position 649, 1216 at time 1607971754988
Attacked Unit@199fba61at position 554, 1177 at time 1607971756101
Attacked Unit@5081f3cfat position 865, 944 at time 1607971757213
Attacked Unit@199fba61at position 357, 1177 at time 1607971758326
Attacked Unit@3f2d0bd3at position 781, 1000 at time 1607971759438
Attacked Unit@199fba61at position 489, 1017 at time 1607971760551
Attacked Unit@199fba61at position 680, 1000 at time 1607971762776
Attacked Unit@6082e130at position 776, 1000 at time 1607971763888
Attacked Unit@6082e130at position 870, 1000 at time 1607971765000
Attacked Unit@6082e130at position 877, 1044 at time 1607971766114
Attacked Unit@1704a4cfat position 459, 870 at time 1607971767228
